horodatage,media,reussis,echecs
2026-06-08T03:40:29,paris_match,2980,21
2026-06-08T03:40:29,telerama,2457,544
2026-06-08T03:40:29,valeurs_actuelles,3000,1
2026-06-08T04:07:08,le_capital,3093,8
2026-06-08T04:07:08,le_figaro,2039,1062
2026-06-08T04:07:08,le_journal_du_dimanche,3070,31
2026-06-08T04:07:08,le_monde,1044,2057
2026-06-08T04:07:08,le_nouvel_observateur,2960,141
2026-06-08T04:07:08,les_echos,3097,4
2026-06-08T04:07:08,nice_matin,2577,524
2026-06-08T04:07:08,paris_match,3065,36
2026-06-08T04:07:08,telerama,2556,545
2026-06-08T04:07:08,valeurs_actuelles,3100,1
2026-06-08T04:29:17,le_capital,3193,8
2026-06-08T04:29:17,le_figaro,2093,1108
2026-06-08T04:29:17,le_journal_du_dimanche,3169,32
2026-06-08T04:29:17,le_monde,1081,2120
2026-06-08T04:29:17,le_nouvel_observateur,3059,142
2026-06-08T04:29:17,les_echos,3197,4
2026-06-08T04:29:17,nice_matin,2676,525
2026-06-08T04:29:17,paris_match,3158,43
2026-06-08T04:29:17,telerama,2655,546
2026-06-08T04:29:17,valeurs_actuelles,3200,1
2026-06-08T04:51:58,le_capital,3293,8
2026-06-08T04:51:58,le_figaro,2151,1150
2026-06-08T04:51:58,le_journal_du_dimanche,3268,33
2026-06-08T04:51:58,le_monde,1114,2187
2026-06-08T04:51:58,le_nouvel_observateur,3157,144
2026-06-08T04:51:58,les_echos,3297,4
2026-06-08T04:51:58,nice_matin,2775,526
2026-06-08T04:51:58,paris_match,3249,52
2026-06-08T04:51:58,telerama,2755,546
2026-06-08T04:51:58,valeurs_actuelles,3300,1
2026-06-08T05:13:45,le_capital,3393,8
2026-06-08T05:13:45,le_figaro,2211,1190
2026-06-08T05:13:45,le_journal_du_dimanche,3367,34
2026-06-08T05:13:45,le_monde,1143,2258
2026-06-08T05:13:45,le_nouvel_observateur,3256,145
2026-06-08T05:13:45,les_echos,3397,4
2026-06-08T05:13:45,nice_matin,2874,527
2026-06-08T05:13:45,paris_match,3317,84
2026-06-08T05:13:45,telerama,2855,546
2026-06-08T05:13:45,valeurs_actuelles,3400,1
2026-06-08T05:36:26,le_capital,3493,8
2026-06-08T05:36:26,le_figaro,2270,1231
2026-06-08T05:36:26,le_journal_du_dimanche,3466,35
2026-06-08T05:36:26,le_monde,1182,2319
2026-06-08T05:36:26,le_nouvel_observateur,3354,147
2026-06-08T05:36:26,les_echos,3497,4
2026-06-08T05:36:26,nice_matin,2974,527
2026-06-08T05:36:26,paris_match,3405,96
2026-06-08T05:36:26,telerama,2955,546
2026-06-08T05:36:26,valeurs_actuelles,3500,1
2026-06-08T05:58:57,le_capital,3593,8
2026-06-08T05:58:57,le_figaro,2328,1273
2026-06-08T05:58:57,le_journal_du_dimanche,3565,36
2026-06-08T05:58:57,le_monde,1223,2378
2026-06-08T05:58:57,le_nouvel_observateur,3453,148
2026-06-08T05:58:57,les_echos,3597,4
2026-06-08T05:58:57,nice_matin,3073,528
2026-06-08T05:58:57,paris_match,3492,109
2026-06-08T05:58:57,telerama,3054,547
2026-06-08T05:58:57,valeurs_actuelles,3600,1
2026-06-08T06:23:37,le_capital,3693,8
2026-06-08T06:23:37,le_figaro,2401,1300
2026-06-08T06:23:37,le_journal_du_dimanche,3664,37
2026-06-08T06:23:37,le_monde,1264,2437
2026-06-08T06:23:37,le_nouvel_observateur,3551,150
2026-06-08T06:23:37,les_echos,3697,4
2026-06-08T06:23:37,nice_matin,3173,528
2026-06-08T06:23:37,paris_match,3580,121
2026-06-08T06:23:37,telerama,3152,549
2026-06-08T06:23:37,valeurs_actuelles,3700,1
2026-06-08T06:48:41,le_capital,3793,8
2026-06-08T06:48:41,le_figaro,2451,1350
2026-06-08T06:48:41,le_journal_du_dimanche,3763,38
2026-06-08T06:48:41,le_monde,1300,2501
2026-06-08T06:48:41,le_nouvel_observateur,3650,151
2026-06-08T06:48:41,les_echos,3797,4
2026-06-08T06:48:41,nice_matin,3273,528
2026-06-08T06:48:41,paris_match,3668,133
2026-06-08T06:48:41,telerama,3252,549
2026-06-08T06:48:41,valeurs_actuelles,3800,1
2026-06-08T07:13:17,le_capital,3893,8
2026-06-08T07:13:17,le_figaro,2497,1404
2026-06-08T07:13:17,le_journal_du_dimanche,3862,39
2026-06-08T07:13:17,le_monde,1340,2561
2026-06-08T07:13:17,le_nouvel_observateur,3748,153
2026-06-08T07:13:17,les_echos,3897,4
2026-06-08T07:13:17,nice_matin,3373,528
2026-06-08T07:13:17,paris_match,3753,148
2026-06-08T07:13:17,telerama,3352,549
2026-06-08T07:13:17,valeurs_actuelles,3900,1
2026-06-08T07:36:25,le_capital,3993,8
2026-06-08T07:36:25,le_figaro,2552,1449
2026-06-08T07:36:25,le_journal_du_dimanche,3961,40
2026-06-08T07:36:25,le_monde,1369,2632
2026-06-08T07:36:25,le_nouvel_observateur,3847,154
2026-06-08T07:36:25,les_echos,3997,4
2026-06-08T07:36:25,nice_matin,3472,529
2026-06-08T07:36:25,paris_match,3843,158
2026-06-08T07:36:25,telerama,3452,549
2026-06-08T07:36:25,valeurs_actuelles,4000,1
2026-06-08T07:59:10,le_capital,4093,8
2026-06-08T07:59:10,le_figaro,2615,1486
2026-06-08T07:59:10,le_journal_du_dimanche,4060,41
2026-06-08T07:59:10,le_monde,1398,2703
2026-06-08T07:59:10,le_nouvel_observateur,3944,157
