a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
lefigaro,lefigaro,11,0.5890,0.4920,-0.0812,-0.0172,26118
lefigaro,lefigaro,12,0.5736,0.4842,-0.0921,-0.0253,26118
lefigaro,lefigaro,13,0.5787,0.4718,-0.0825,-0.0095,26118
lefigaro,lefigaro,14,0.5970,0.4967,-0.0569,0.0046,26118
lefigaro,lefigaro,15,0.5746,0.4797,-0.0755,-0.0085,26118
lefigaro,ouestfrance,-15,0.1940,0.2983,0.0068,0.0188,26118
lefigaro,ouestfrance,-14,0.1921,0.3021,-0.0093,0.0007,26118
lefigaro,ouestfrance,-13,0.2091,0.3115,0.0201,0.0275,26118
lefigaro,ouestfrance,-12,0.1911,0.3060,0.0128,0.0158,26118
lefigaro,ouestfrance,-11,0.2014,0.3071,0.0167,0.0180,26118
lefigaro,ouestfrance,-10,0.1816,0.3052,-0.0065,0.0013,26118
lefigaro,ouestfrance,-9,0.1762,0.3071,0.0129,0.0170,26118
lefigaro,ouestfrance,-8,0.1698,0.3118,-0.0074,-0.0110,26118
lefigaro,ouestfrance,-7,0.1919,0.3030,-0.0178,-0.0206,26118
lefigaro,ouestfrance,-6,0.2090,0.3021,-0.0149,-0.0169,26118
lefigaro,ouestfrance,-5,0.2082,0.3024,-0.0294,-0.0405,26118
lefigaro,ouestfrance,-4,0.2119,0.3132,-0.0127,-0.0201,26118
lefigaro,ouestfrance,-3,0.1918,0.3058,-0.0445,-0.0472,26118
lefigaro,ouestfrance,-2,0.1765,0.3081,-0.0584,-0.0644,26118
lefigaro,ouestfrance,-1,0.1885,0.3293,-0.0517,-0.0593,26118
lefigaro,ouestfrance,0,0.2662,0.3784,0.0599,0.0560,26118
lefigaro,ouestfrance,1,0.2770,0.3880,0.0488,0.0363,26118
lefigaro,ouestfrance,2,0.2153,0.3456,-0.0070,-0.0198,26118
lefigaro,ouestfrance,3,0.1888,0.3383,-0.0006,-0.0079,26118
lefigaro,ouestfrance,4,0.1923,0.3303,0.0077,-0.0027,26118
lefigaro,ouestfrance,5,0.1730,0.3211,-0.0118,-0.0173,26118
lefigaro,ouestfrance,6,0.1725,0.3130,-0.0114,-0.0184,26118
lefigaro,ouestfrance,7,0.1817,0.3171,-0.0230,-0.0237,26118
lefigaro,ouestfrance,8,0.2070,0.3214,0.0118,0.0001,26118
lefigaro,ouestfrance,9,0.1813,0.3112,-0.0030,-0.0068,26118
lefigaro,ouestfrance,10,0.1741,0.3072,0.0049,0.0003,26118
lefigaro,ouestfrance,11,0.1683,0.2991,0.0101,0.0121,26118
lefigaro,ouestfrance,12,0.1792,0.2990,0.0201,0.0161,26118
lefigaro,ouestfrance,13,0.1691,0.3006,0.0045,0.0069,26118
lefigaro,ouestfrance,14,0.1668,0.3056,0.0046,0.0071,26118
lefigaro,ouestfrance,15,0.1743,0.3001,0.0275,0.0276,26118
ouestfrance,lemonde,-15,0.3182,0.3522,-0.0238,-0.0218,26118
ouestfrance,lemonde,-14,0.3057,0.3392,-0.0090,-0.0126,26118
ouestfrance,lemonde,-13,0.3443,0.3594,-0.0196,-0.0132,26118
