date,20minutes,atlantico,bfmtv,challenges,cnews,francesoir,gala,l_opinion,la_croix,la_depeche,laprovence,latribune,le_capital,le_courrier_de_l_ouest,le_journal_du_dimanche,le_maine_libre,le_marin,le_nouvel_observateur,le_telegramme,leparisien,marianne,midilibre,nice_matin,ouest_france2,paris_match,paris_normandie,presse_ocean,sud_ouest,telerama,valeurs_actuelles,voici,voiles_et_voiliers,lemonde,lefigaro,lesechos,mediapart
20080214,26968,0,2681,18813,0,0,1744,0,7292,6149,271,0,3548,0,12239,0,0,0,0,0,0,0,0,65475,350,0,0,0,3655,0,0,0,91860,100031,72421,0
20080215,22612,0,4502,21407,0,0,3834,0,10110,3814,0,0,3121,0,8516,0,0,0,0,0,0,0,0,59263,304,0,0,0,7099,0,0,0,85977,96259,75572,0
20080216,7455,0,0,0,0,0,329,0,258,2325,383,0,0,0,12299,0,0,0,0,0,515,0,0,89173,0,0,0,0,16233,0,0,0,54627,142287,1585,0
20080217,4825,0,0,0,0,0,481,0,6890,637,378,0,0,0,26225,0,0,0,0,0,0,0,0,13258,0,0,0,0,0,0,0,0,7302,50588,1871,0
20080218,26363,0,1614,18609,0,0,2663,0,8159,5113,90,0,3703,0,17719,0,0,0,0,0,0,0,0,119451,3103,0,0,0,1889,0,0,0,98517,95696,60894,0
20080219,27039,0,2987,19429,0,0,5007,0,13422,4545,274,0,1428,0,8659,0,0,0,0,0,0,0,0,60755,0,0,0,0,1902,8734,0,0,68875,89669,60720,0
20080220,25925,0,1921,17929,0,0,2734,0,13036,4069,1224,0,1517,0,15293,0,0,0,0,0,0,0,0,66162,0,0,0,0,2096,7505,0,0,72022,92793,63026,0
20080221,23213,0,3988,19265,0,0,3246,0,8238,9284,268,0,5526,0,19230,0,0,0,0,0,0,0,0,59765,4015,0,0,0,4005,0,0,0,93070,121705,88770,0
20080222,23258,0,3112,15439,0,0,4411,0,9163,7437,828,0,1918,0,11699,0,0,0,0,0,0,0,0,73485,0,0,0,0,5463,0,0,0,75479,102792,79414,0
20080223,4167,0,0,0,0,0,0,0,361,1240,137,0,0,0,4525,0,0,0,0,0,702,0,0,87833,0,0,0,0,13618,0,0,0,58430,178451,1404,0
20080224,5778,0,0,0,0,0,2002,0,8760,3531,655,0,0,0,20360,0,0,0,0,0,0,0,0,5050,0,0,0,0,58,0,0,0,8128,59190,1161,0
20080225,25761,0,2252,16770,0,0,3339,0,10440,6163,2061,0,1739,0,9928,0,0,0,0,0,0,0,0,96950,0,0,0,0,2857,0,0,0,76394,94630,67758,0
20080226,24111,0,2904,17414,0,0,3261,0,7210,3739,1206,0,3446,0,13314,0,0,0,0,0,0,0,0,66949,44,0,0,0,2387,4455,0,0,69222,80091,67248,0
20080227,23582,0,1921,18912,0,0,3337,0,12150,4085,0,0,4944,0,10186,0,0,0,0,0,0,0,0,73305,144,0,0,0,2012,10710,0,0,71252,92730,63338,0
20080228,26429,0,2172,15508,0,0,1274,0,8139,5289,792,0,2871,0,9540,0,0,0,0,0,0,0,0,73622,142,0,0,0,1593,0,0,0,88326,111583,67709,0
20080229,29764,0,1515,19664,0,0,2837,0,9642,7745,0,0,2534,0,10950,0,0,0,0,0,0,0,0,69321,0,0,0,0,4220,0,0,0,73219,101013,80090,0
20080301,3660,0,0,0,0,0,0,0,362,1159,0,0,513,0,7651,0,0,0,0,0,747,0,0,82676,0,0,0,0,15847,0,0,228,46123,132433,2221,0
20080302,4497,0,0,0,0,0,0,0,8546,329,0,0,0,0,20416,0,0,0,0,0,0,0,0,6213,0,0,0,0,0,0,0,0,17776,42808,4180,0
20080303,32836,0,2358,18748,0,0,1472,0,9441,3000,2015,0,5356,0,21244,0,0,0,0,0,0,0,0,102467,0,0,0,0,758,0,0,0,74853,102352,78641,0
20080304,26621,0,2449,21022,0,0,2596,0,9937,3911,0,0,1805,0,10479,0,0,0,0,0,0,0,0,82044,5809,0,0,0,430,8849,0,0,68427,94335,67556,0
20080305,24342,0,3323,18466,0,0,4126,0,10529,4855,0,0,4070,0,11673,0,0,0,0,0,0,0,0,95081,0,0,0,0,2759,6577,0,0,77609,104179,66813,0
20080306,24096,0,4166,19980,0,0,3584,0,7904,4980,405,0,4353,0,11078,0,0,0,0,0,0,0,0,82133,110,0,0,0,1136,606,0,0,94198,107028,67998,0
20080307,28367,0,2861,14893,0,0,5106,0,6884,2830,30,0,4553,0,5947,0,0,0,0,0,0,0,0,49031,89,0,0,0,2837,0,0,0,85695,108191,75950,0
20080308,6141,0,0,0,0,0,129,0,0,546,40,0,0,0,10316,0,0,0,0,0,0,0,0,12781,0,0,0,0,13165,0,0,0,59504,147712,1903,0
20080309,22622,0,339,1205,0,0,160,0,5787,697,0,0,0,0,25091,0,0,0,0,0,0,0,0,1982,0,0,0,0,0,0,0,0,13604,67314,1710,0
20080310,29179,0,3319,23766,0,0,2464,0,8312,2769,0,0,3827,0,14376,0,0,0,0,0,0,0,0,57003,121,0,0,0,1249,0,0,0,182653,105411,67138,2160
20080311,26171,0,3257,19877,0,0,1841,0,11607,3629,47,0,2924,0,10483,0,0,0,0,0,494,0,0,13126,5786,0,0,0,1312,9217,0,0,93870,97713,85709,0
20080312,28084,0,2675,19891,0,0,3639,0,17537,3703,240,0,1692,0,11224,0,0,0,0,0,0,0,0,64988,57,0,0,0,826,4657,120,0,74634,95234,62187,864
20080313,31189,0,2524,18240,0,0,6010,0,7395,5317,0,0,3645,0,11810,0,0,0,0,0,0,0,0,95714,77,0,0,0,4204,0,0,0,88104,108609,69012,0
20080314,24422,0,2546,18748,0,0,2158,0,7950,5072,22,0,6062,0,14965,0,0,0,0,0,0,0,0,71545,333,0,0,0,5775,0,0,0,79760,79429,77328,14236
20080315,8887,0,0,287,0,0,126,0,246,1598,900,0,535,0,13861,0,0,0,0,0,0,0,0,31808,0,0,0,0,18774,0,0,0,49472,147018,2485,2965
20080316,19136,0,365,1956,0,0,369,0,4572,1187,260,0,0,0,22879,0,0,0,0,0,0,0,0,11675,0,0,0,0,428,0,0,0,11366,62602,1967,26426
20080317,29311,0,3452,21268,0,0,2051,0,6255,6160,347,0,4048,0,18234,0,0,0,0,0,0,0,0,107739,61,0,0,0,1521,0,0,0,139393,95261,67566,7960
