mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
national,20190528,3003,5124631,58.6,4.887651e-08,7.3109,1
national,20210628,2326,4680983,49.69,1.114704e-05,4.9528,2
national,20220611,4883,5199282,93.92,4.2366479999999994e-19,18.373,5
national,20240630,5322,4372010,121.73,7.786011e-29,28.1087,10
laquelle,20110504,456,2000012,22.8,9.905026e-05,4.0041,0
laquelle,20150110,706,3111979,22.69,4.942612e-05,4.306,0
aucune,20110323,640,2495393,25.65,7.837388e-05,4.1058,0
aucune,20110913,549,2028475,27.06,1.361311e-05,4.866,0
aucune,20200320,1468,4162331,35.27,2.638408e-12,11.5787,15
aucune,20200823,1063,3187090,33.35,1.76599e-10,9.753,6
aucune,20210201,1157,4554377,25.4,7.017562e-05,4.1538,0
aucune,20210514,1192,4005689,29.76,8.257218e-08,7.0832,4
affaires,20080323,372,617191,60.27,2.982293e-17,16.5254,1
affaires,20080811,219,671133,32.63,3.650919e-06,5.4376,0
affaires,20081230,268,790068,33.92,9.706123e-07,6.013,2
affaires,20101114,443,1614048,27.45,9.779524e-05,4.0097,0
affaires,20110227,716,2114302,33.86,3.576884e-07,6.4465,4
affaires,20120516,689,2220469,31.03,4.252048e-06,5.3714,0
affaires,20140403,1262,4381261,28.8,2.205794e-05,4.6564,1
américain,20081106,885,1159577,76.32,1.190319e-09,8.9243,6
prix,20080603,1235,1017683,121.35,2.622251e-06,5.5813,1
tête,20080311,1073,1283062,83.63,2.368202e-07,6.6256,4
tête,20090607,984,1437618,68.45,8.729298e-05,4.059,0
tête,20100316,1796,2402370,74.76,6.860326e-06,5.1637,0
tête,20120422,2042,2324466,87.85,2.921223e-08,7.5344,1
tête,20140325,3477,4078665,85.25,7.765815e-08,7.1098,2
tête,20150323,3133,3826165,81.88,3.335419e-07,6.4768,0
tête,20151206,3984,3364162,118.42,1.167095e-14,13.9329,0
tête,20170423,2567,3181447,80.69,5.744359e-07,6.2408,0
tête,20190525,2902,4145639,70.0,3.917935e-05,4.4069,0
tête,20200627,2727,3884692,70.2,3.66672e-05,4.4357,0
tête,20210619,3010,4160101,72.35,1.588072e-05,4.7991,2
tête,20220424,3742,4038281,92.66,2.859632e-09,8.5437,1
tête,20240630,4811,4372010,110.04,7.086737e-13,12.1496,1
tête,20260316,6019,4233427,142.18,3.886869e-20,19.4104,1
nouvelles,20140903,1442,3995178,36.09,3.920041e-05,4.4067,0
nouvelles,20201028,1944,4743742,40.98,1.885259e-07,6.7246,1
nouvelles,20210402,1683,4480617,37.56,8.361728e-06,5.0777,0
nouvelles,20211228,1444,3469214,41.62,1.113105e-07,6.9535,0
groupe,20080724,1159,798937,145.07,9.682333e-05,4.014,1
mesure,20081206,231,757299,30.5,8.036491e-05,4.0949,0
mesure,20120129,503,1627134,30.91,1.906459e-05,4.7198,0
mesure,20121230,664,2265145,29.31,7.425898e-05,4.1293,0
mesure,20151224,833,2730936,30.5,1.916072e-05,4.7176,0
mesure,20200317,1980,5075458,39.01,4.066888e-10,9.3907,3
république,20080721,277,632364,43.8,1.902478e-05,4.7207,0
république,20120507,1296,2167664,59.79,6.469304e-10,9.1891,2
république,20150110,1821,3111979,58.52,1.219823e-09,8.9137,0
république,20151115,1837,3377213,54.39,1.563851e-08,7.8058,0
république,20170619,3202,4187989,76.46,7.060505e-15,14.1512,6
république,20180723,1725,3509059,49.16,3.674534e-07,6.4348,0
république,20201019,1769,4253753,41.59,2.641152e-05,4.5782,0
république,20220424,1890,4038281,46.8,1.414817e-06,5.8493,0
république,20240609,1545,3923588,39.38,8.743276e-05,4.0583,0
plan,20081013,1298,871801,148.89,1.5789660000000002e-23,22.8016,21
plan,20090210,1276,1820136,70.1,3.498515e-07,6.4561,1
plan,20111106,1391,1848227,75.26,3.738383e-08,7.4273,3
plan,20200428,2944,4889715,60.21,1.698593e-05,4.7699,0
plan,20200904,3136,4400827,71.26,1.7094e-07,6.7672,0
semaine,20200329,3032,3188473,95.09,4.318535e-10,9.3647,8
défense,20080618,761,1140492,66.73,7.100876e-10,9.1487,2
défense,20250306,2037,4645846,43.85,7.370223e-05,4.1325,0
défense,20260301,1562,3441934,45.38,3.657026e-05,4.4369,0
mise,20130321,2163,4233196,51.1,4.339654e-05,4.3625,0
nom,20150110,1002,3111979,32.2,8.200011e-05,4.0862,0
nom,20150504,1369,3417858,40.05,1.121896e-09,8.95,0
nom,20150913,1045,3213216,32.52,5.418129e-05,4.2662,0
nom,20180310,1456,3932199,37.03,1.01036e-07,6.9955,0
nom,20240715,1278,3920412,32.6,4.295534e-05,4.367,0
nom,20250508,1756,4264125,41.18,1.288609e-10,9.8899,0
forces,20080811,354,671133,52.75,4.224117e-08,7.3743,0
forces,20110320,1092,1901281,57.43,1.387172e-09,8.8579,5
forces,20150110,1178,3111979,37.85,4.492174e-05,4.3475,0
forces,20151121,1230,3225140,38.14,3.876022e-05,4.4116,0
forces,20181208,1679,3742599,44.86,1.164721e-06,5.9338,1
forces,20190501,1488,3701740,40.2,1.338142e-05,4.8735,0
forces,20230630,1893,4851784,39.02,2.357429e-05,4.6276,1
possible,20200428,2106,4889715,43.07,2.62035e-07,6.5816,15
possible,20201103,1800,4846187,37.14,7.013368e-05,4.1541,0
politiques,20080404,346,946667,36.55,5.862074e-08,7.2319,0
politiques,20120501,607,2087844,29.07,2.405774e-05,4.6187,0
grands,20081106,558,1159577,48.12,4.89549e-10,9.3102,1
grands,20161109,1827,4292957,42.56,5.759272e-08,7.2396,0
grands,20201103,1899,4846187,39.19,3.097456e-06,5.509,0
mort,20110501,1496,1768580,84.59,1.67367e-17,16.7763,2
mort,20111022,943,1628924,57.89,7.155467e-09,8.1454,0
mort,20171207,2433,5778631,42.1,9.414371e-05,4.0262,0
mort,20200603,2331,4958146,47.01,5.224841e-06,5.2819,0
mort,20220909,2850,5194662,54.86,3.174906e-08,7.4983,0
mort,20230630,3229,4851784,66.55,7.841592e-12,11.1056,1
mort,20240210,2091,4211267,49.65,1.034268e-06,5.9854,0
mort,20260217,1759,4098651,42.92,6.225814e-05,4.2058,1
décision,20080703,421,936336,44.96,2.85669e-05,4.5441,0
décision,20140109,1892,3859690,49.02,1.097183e-06,5.9597,0
décision,20180118,2800,6064691,46.17,6.271251e-06,5.2026,0
décision,20200314,1957,4429874,44.18,2.291657e-05,4.6399,1
décision,20230413,2280,5087073,44.82,1.504912e-05,4.8225,0
décision,20250402,2095,4887541,42.86,4.980155e-05,4.3028,0
décision,20260708,1582,3779273,41.86,9.436581e-05,4.0252,0
sud,20080811,846,671133,126.06,5.387904e-16,15.2686,3
sud,20100611,1804,2079378,86.76,1.264154e-08,7.8982,4
sud,20131207,3123,3749168,83.3,4.707515e-08,7.3272,0
sud,20191230,3435,3063886,112.11,8.866142e-14,13.0523,16
sud,20200615,3878,4299861,90.19,2.244003e-09,8.649,6
sud,20260813,6015,3103147,193.84,1.511533e-32,31.8206,0
