mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
premier,20080901,4.3708,-2.6241,2.1894,-0.0212,-0.3774,,,,
premier,20120422,8.8448,2.4091,-0.469,-0.7751,1.0716,1.9381,-1.0788,-1.1312,1.2155
premier,20140331,12.0372,1.0235,2.3876,-1.3321,0.0979,1.5566,2.0629,-1.1373,0.4758
premier,20150323,7.2782,0.0088,-0.2772,0.7922,-0.2538,-0.1954,-0.3748,0.7871,0.0593
premier,20151206,5.9955,1.1955,-0.6772,1.2877,-0.514,,,,
premier,20170423,8.9338,1.9038,-0.4766,-0.3204,0.9711,1.4515,-1.0001,-0.7313,0.9686
premier,20200314,6.7863,-0.1424,-0.149,1.2535,-0.5961,-0.2307,-0.3187,1.2461,-0.6461
premier,20200627,5.4832,-0.8263,0.1678,1.9945,-0.0058,,,,
premier,20210628,4.9351,-1.6971,2.2011,-2.0133,0.7413,,,,
premier,20220611,33.6525,-0.1611,-1.0828,0.3666,0.5807,-0.6061,-0.9619,0.166,0.6405
premier,20240630,12.8856,0.416,0.5191,1.2604,-0.1083,0.4789,0.1435,1.1981,-0.0182
premier,20260316,27.9097,0.942,-0.4249,0.9348,0.0386,0.6099,-0.862,0.7671,0.2587
paris,20080308,6.0263,1.2227,-2.9811,-1.6981,0.4732,0.1474,-2.7419,-1.8358,1.0251
paris,20150110,8.4557,1.1251,-0.6772,0.1773,-2.0089,0.7265,-1.0734,-0.3519,-1.8417
paris,20151115,36.2615,1.7234,-0.7218,1.3621,0.0555,1.2642,-1.4717,0.992,0.0723
paris,20190416,15.8883,-0.5862,-0.8906,0.8655,-0.2464,-0.998,-0.7675,0.6751,-0.2083
paris,20240727,13.4716,2.1467,1.3131,0.8264,-0.0055,2.3815,0.3776,0.4989,-0.0479
quatre,20080817,5.8868,-0.3509,1.8568,1.2854,-0.7625,,,,
président,20080703,4.5498,1.04,1.2745,0.6542,1.0236,,,,
président,20081106,5.3433,-1.6839,-1.9406,0.321,-0.7088,,,,
président,20120507,9.7321,0.8365,0.734,0.9571,0.0342,0.9152,0.246,0.8528,0.1045
président,20170508,6.0801,2.2082,-0.413,1.3998,0.7383,1.8686,-1.3121,1.0612,0.8181
grand,20190125,6.3367,1.8531,2.2091,-2.5166,2.1022,2.2785,1.792,-2.0944,2.3785
cinq,20080323,7.0756,-1.6949,0.2941,-0.523,0.4867,-1.6087,1.0018,-0.3798,0.6155
cinq,20100918,5.5501,1.2279,-0.3985,0.6001,-0.1858,,,,
cinq,20220424,15.2189,-1.0433,1.1918,-1.0822,0.6473,-0.7881,1.607,-0.7345,0.8132
devant,20150110,4.9839,0.1857,-0.5796,0.7238,-2.1673,,,,
devant,20151115,7.3029,0.8684,-2.3273,-0.1856,-0.096,-0.0785,-2.3822,-0.5535,0.081
jour,20141226,4.8847,0.8429,1.2227,0.6193,-1.2096,,,,
jour,20200329,17.3291,3.9057,1.102,-1.9306,1.073,3.8648,0.0184,-2.0677,1.5199
jour,20211225,4.6166,1.6459,0.3319,0.1579,-0.2801,,,,
jour,20241224,4.841,1.4733,0.4547,1.3784,-0.4028,,,,
jour,20251225,4.7062,0.4203,1.388,2.3698,-0.7181,,,,
fin,20121221,6.2234,1.874,1.9438,0.6482,0.3679,2.3439,1.0856,0.4342,0.2814
fin,20191221,4.0612,2.4593,1.7309,-1.201,0.6286,,,,
fin,20200612,4.2267,-1.9826,0.7908,2.327,-0.5201,,,,
fin,20210502,4.7243,1.4323,1.8795,0.1711,1.3657,,,,
jours,20200329,8.5155,2.826,2.424,-1.8041,1.0995,3.299,1.5446,-1.6348,1.4939
jours,20220103,4.6273,0.0879,2.7995,-0.9674,-0.5305,,,,
grande,20140903,4.8066,-2.8258,0.0584,1.5484,-1.1698,,,,
grande,20160624,4.1316,2.9615,1.2227,0.0025,0.4728,,,,
grande,20170523,4.9074,1.3943,-1.8139,0.536,0.2294,,,,
grande,20181108,7.5318,1.1363,2.0692,0.3266,-1.3579,1.6905,1.4287,0.2362,-1.4416
français,20080823,7.3065,-1.2577,3.34,-2.0436,0.0135,-0.1383,3.8896,-1.4535,0.4119
français,20151115,4.5367,0.6595,0.0093,1.6751,0.1719,,,,
mois,20081224,7.9404,-1.0957,1.2883,0.5946,0.0908,-0.6708,1.5249,0.7061,0.1291
place,20150110,4.0547,-2.4577,0.2718,0.1968,-0.5641,,,,
place,20220611,6.7381,-0.2582,-2.2937,-1.1551,0.2143,-1.2675,-1.8331,-1.309,0.7225
pays,20080609,5.8337,3.3677,0.8162,0.9474,0.1603,,,,
pays,20220301,5.604,2.8768,1.9054,-0.7415,-0.5181,,,,
nouveau,20080323,23.0813,-0.5574,1.006,-0.8895,-1.0368,-0.4346,1.2121,-0.8362,-0.7319
nouveau,20081106,5.8582,0.8566,-1.8598,0.2751,0.0417,,,,
nouveau,20101114,9.0676,0.3435,-1.0493,1.3373,-0.3025,-0.1353,-1.293,1.0438,-0.3413
nouveau,20120516,10.8329,1.416,1.3051,-1.3623,-0.2363,1.5504,0.8768,-1.328,0.2178
nouveau,20140403,11.3666,1.5144,1.3839,0.2413,-1.7041,1.8159,0.724,-0.1837,-1.7245
nouveau,20170508,8.1369,2.7228,-0.5689,2.0597,0.8428,2.4596,-1.6241,1.6957,1.0097
nouveau,20200706,10.4042,-1.5036,1.5542,1.6211,-1.1013,-0.7368,1.8662,1.5325,-1.2543
nouveau,20211128,4.3265,2.2239,-1.6163,-0.3181,-1.0903,,,,
nouveau,20240630,18.4808,0.8203,2.3316,0.4127,1.7193,1.4786,1.8248,0.7687,1.7589
nouveau,20260325,5.1368,1.6552,1.701,0.0818,-1.0388,,,,
part,20080422,4.7444,0.8053,2.6097,-1.1982,2.1417,,,,
part,20220611,5.3695,-0.7154,-1.9343,-0.8127,0.9155,,,,
faut,20080615,4.3294,-0.9867,2.2014,0.8306,1.1296,,,,
faut,20200320,4.5128,3.6575,0.4512,0.3001,0.6267,,,,
politique,20120507,5.3545,0.0938,2.2357,0.9687,0.2782,,,,
politique,20140825,6.9841,2.3368,-1.0126,-0.6573,0.0113,1.6138,-1.63,-1.1176,0.3005
politique,20170508,4.9722,0.1127,1.1964,0.8092,0.8338,,,,
partie,20191221,6.6196,2.4327,0.4451,-0.2935,1.9688,2.3707,-0.3657,-0.2754,1.9911
partie,20200501,4.5863,1.673,-0.5876,-3.3115,1.3005,,,,
partie,20200823,7.641,-1.5376,3.5845,0.7352,1.546,-0.1177,3.842,1.2945,1.1202
partie,20210502,4.7336,0.7632,2.0296,-0.2563,2.0572,,,,
dix,20080820,6.9591,0.4241,0.153,1.3451,-0.6979,0.5528,-0.1161,1.2165,-0.6734
dix,20110910,6.4965,0.1106,0.8323,-0.6231,-0.2257,0.1906,0.8621,-0.7538,0.1128
dix,20111230,4.7615,-1.582,-1.0584,0.8152,-0.6559,,,,
dix,20251113,6.4137,-0.514,0.1696,-1.7412,0.0915,-0.7427,0.5514,-1.6354,0.4672
point,20081019,5.1056,0.3468,-1.2782,-0.266,1.4132,,,,
point,20181117,23.6966,3.5644,-0.2917,1.2507,0.5055,3.2596,-1.6058,0.8231,0.4076
point,20240129,4.2931,0.1191,1.993,-2.0807,-0.8606,,,,
point,20250911,8.4106,0.9873,-0.6771,0.3516,-0.3578,0.5371,-1.0504,0.0694,-0.1638
cours,20090908,9.8438,3.9654,1.3822,-0.8115,0.5223,4.0724,0.0838,-1.1474,0.755
cours,20120904,7.7752,4.0094,0.9913,-0.6231,0.8354,3.984,-0.2974,-0.9906,1.0053
cours,20130902,5.7351,3.9542,0.7226,-0.1758,0.7136,,,,
cours,20140903,4.4333,3.5035,1.2398,0.588,-0.3753,,,,
cours,20200907,4.9759,-1.1389,3.9949,1.0598,1.6974,,,,
