seuil,composante,cote,rang,mot,date,surprise,coefficient,vocab600
6,4,positif,1,reçoit,20091002,7.79,4.7712,0
6,4,positif,2,papier,20080518,6.7,4.5897,0
6,4,positif,3,rendez,20091002,6.81,4.5537,0
6,4,positif,4,jaunes,20190112,19.95,4.5244,0
6,4,positif,5,jouent,20091120,9.98,4.3489,0
6,4,positif,6,grenoble,20081102,6.16,4.2418,0
6,4,positif,7,rendez,20100129,8.37,4.2155,0
6,4,positif,8,technique,20090215,7.14,4.1909,0
6,4,positif,9,jaunes,20190323,10.62,4.1722,0
6,4,positif,10,déplace,20091002,6.25,4.1573,0
6,4,positif,11,parisiens,20080406,7.71,4.101,0
6,4,positif,12,cortège,20210731,6.19,4.0894,0
6,4,positif,13,jouent,20100312,7.94,4.043,0
6,4,positif,14,temps,20200531,6.56,4.0065,0
6,4,positif,15,déplace,20100312,8.39,3.9931,0
6,4,negatif,1,lancement,20090405,10.31,-1.7758,0
6,4,negatif,2,commerciales,20190824,7.97,-1.7344,0
6,4,negatif,3,cinéma,20080727,8.43,-1.7339,1
6,4,negatif,4,racines,20141124,6.54,-1.6897,0
6,4,negatif,5,d'équipements,20220227,9.81,-1.6842,0
6,4,negatif,6,élaborer,20180121,7.54,-1.6653,0
6,4,negatif,7,vienne,20081012,6.15,-1.6564,0
6,4,negatif,8,téhéran,20260408,6.21,-1.633,0
6,4,negatif,9,syndicats,20100501,6.44,-1.6055,1
6,4,negatif,10,devront,20220102,12.72,-1.6044,0
6,4,negatif,11,ailleurs,20220612,11.21,-1.6009,0
6,4,negatif,12,améliorations,20131026,8.32,-1.5994,0
6,4,negatif,13,domaines,20130706,9.61,-1.5988,0
6,4,negatif,14,retrait,20090118,6.23,-1.5972,0
6,4,negatif,15,française,20080224,6.61,-1.5913,1
