date,X_t,N_t
20210527,7,126191
20210528,8,110755
20210529,4,67906
20210530,2,50671
20210531,7,108966
20210601,8,99054
20210602,16,103196
20210603,6,114167
20210604,18,148444
20210605,5,67384
20210606,6,61089
20210607,15,98550
20210608,4,85143
20210609,22,97960
20210610,19,108331
20210611,24,116756
20210612,29,70939
20210613,8,68790
20210614,26,85584
20210615,10,99979
20210616,17,108317
20210617,12,97279
20210618,16,125090
20210619,7,65238
20210620,6,60654
20210621,6,84759
20210622,9,108235
20210623,18,109972
20210624,9,106320
20210625,14,135457
20210626,2,79059
20210627,0,63226
20210628,5,84229
20210629,25,106290
20210630,6,108599
20210701,14,118175
20210702,4,130678
20210703,19,72065
20210704,8,60528
20210705,10,82548
20210706,14,102773
20210707,21,108689
20210708,14,111299
20210709,5,117544
20210710,3,69381
20210711,10,51110
20210712,7,100180
20210713,19,76394
20210714,9,63372
20210715,13,75773
20210716,25,112509
20210717,5,49114
20210718,0,46257
20210719,11,71733
20210720,16,72146
20210721,18,85117
20210722,3,80812
20210723,6,91162
20210724,13,49408
20210725,1,37753
20210726,9,71456
20210727,5,87867
20210728,3,74980
20210729,8,77803
20210730,8,104990
20210731,2,59184
20210801,2,42086
20210802,1,57807
20210803,3,71675
20210804,3,84354
20210805,2,68861
20210806,13,93614
20210807,2,57487
20210808,2,32452
20210809,38,67349
20210810,29,69327
20210811,5,72804
20210812,6,62908
20210813,15,75451
20210814,8,54687
20210815,3,38570
20210816,6,57506
20210817,8,60939
20210818,13,65142
20210819,1,62668
20210820,7,87544
20210821,4,55505
20210822,10,39786
20210823,4,60519
20210824,9,74655
20210825,1,73284
20210826,6,77465
20210827,6,98687
20210828,7,71792
20210829,3,37331
20210830,4,70053
20210831,7,83913
20210901,6,86434
20210902,15,93217
20210903,40,119883
20210904,18,71805
20210905,8,68774
20210906,10,78762
20210907,24,95718
20210908,21,104423
20210909,13,91104
20210910,23,124877
20210911,7,67734
20210912,3,53192
20210913,12,78473
20210914,23,89542
20210915,4,85465
20210916,14,102553
20210917,16,125618
20210918,17,63654
20210919,3,55503
20210920,13,82092
20210921,5,93509
20210922,32,106407
20210923,29,102069
20210924,18,95487
20210925,29,71438
20210926,3,66869
20210927,5,75894
20210928,20,97264
20210929,10,114595
20210930,8,104310
20211001,11,109576
20211002,5,59997
20211003,11,79040
20211004,21,88928
20211005,37,114286
20211006,9,91333
20211007,17,104236
20211008,12,125467
20211009,0,54147
20211010,11,48774
20211011,9,76209
20211012,9,99741
20211013,12,94563
20211014,9,102749
20211015,17,111621
20211016,6,80740
20211017,6,56201
20211018,14,89935
20211019,15,101478
20211020,23,275924
20211021,8,95132
20211022,21,114249
20211023,16,50918
20211024,4,51085
20211025,20,94160
20211026,25,87184
20211027,8,101823
20211028,17,91729
20211029,26,88352
20211030,31,57437
20211031,38,53739
20211101,37,48770
20211102,47,79497
20211103,43,109914
20211104,35,96233
20211105,36,105507
20211106,32,70127
20211107,17,57020
20211108,26,87972
20211109,13,88531
20211110,25,84153
20211111,20,74739
20211112,14,100602
20211113,27,58062
20211114,4,54584
20211115,26,93539
20211116,16,98915
20211117,20,101407
20211118,3,109096
20211119,14,119562
20211120,3,71633
20211121,18,62104
20211122,5,88703
20211123,7,99955
20211124,9,106393
20211125,13,107661
20211126,11,121835
20211127,2,74755
20211128,6,52148
20211129,6,92107
20211130,14,104520
20211201,20,109057
20211202,19,105657
20211203,8,109279
20211204,5,69207
20211205,3,70324
20211206,5,79234
20211207,11,85639
20211208,20,110306
20211209,13,122307
20211210,11,138810
20211211,11,98039
20211212,5,63856
20211213,9,80920
20211214,14,90818
20211215,10,115249
20211216,26,112150
20211217,8,137684
20211218,4,73540
20211219,3,53264
20211220,7,87339
20211221,5,69854
20211222,7,102365
20211223,4,79532
20211224,5,58993
20211225,3,32640
20211226,1,48575
20211227,10,59770
20211228,4,72018
20211229,8,69561
20211230,6,68468
20211231,4,63024
20220101,4,81172
20220102,6,95110
20220103,19,89709
20220104,17,87733
20220105,11,89317
20220106,13,102723
20220107,27,106658
20220108,6,62052
20220109,9,57769
20220110,5,96000
20220111,0,95051
20220112,18,104574
20220113,9,99681
20220114,13,127047
20220115,2,76994
20220116,7,59711
20220117,12,87335
20220118,15,86961
20220119,11,106507
20220120,6,106188
20220121,7,116123
20220122,4,83757
20220123,3,55192
20220124,8,95651
20220125,6,110224
20220126,10,114426
20220127,10,131234
20220128,17,119234
20220129,4,73643
20220130,10,54946
20220131,5,88513
20220201,20,103186
20220202,9,118310
20220203,23,113006
20220204,14,109451
20220205,7,77042
20220206,10,63977
20220207,9,91714
20220208,14,104125
20220209,11,112529
20220210,10,106085
20220211,13,108990
20220212,9,84130
20220213,6,65063
20220214,11,99687
20220215,12,106003
20220216,9,121476
20220217,26,113334
20220218,12,204963
20220219,11,87169
20220220,4,86284
20220221,8,106868
20220222,34,397700
20220223,10,109723
20220224,7,99910
20220225,10,104641
20220226,14,85219
20220227,7,62855
20220228,26,91853
20220301,10,84088
20220302,20,116801
20220303,3,101643
20220304,10,121247
20220305,6,88274
20220306,1,61308
20220307,25,98984
20220308,5,111722
20220309,8,111501
20220310,9,121431
20220311,20,109158
20220312,36,93381
20220313,3,65265
20220314,38,104351
20220315,13,113355
20220316,10,108532
20220317,3,116817
20220318,16,124546
20220319,4,85876
20220320,2,68550
20220321,8,95096
20220322,13,101397
20220323,16,105924
20220324,10,112298
20220325,27,143310
20220326,10,74753
20220327,11,62880
20220328,6,99921
20220329,11,118504
20220330,17,103045
20220331,8,113886
20220401,12,138118
20220402,2,75699
20220403,7,67369
20220404,26,109426
20220405,16,116019
20220406,12,116147
20220407,14,116728
20220408,28,146296
20220409,22,72253
20220410,5,63400
20220411,9,97879
20220412,8,103682
20220413,10,111090
20220414,7,108466
20220415,19,111375
20220416,11,83182
20220417,12,62796
20220418,14,83445
20220419,9,100652
20220420,8,113649
20220421,11,111536
20220422,14,122431
20220423,7,56810
20220424,9,72919
20220425,7,78707
20220426,23,93780
20220427,16,114794
20220428,6,93980
20220429,3,94687
20220430,12,60060
20220501,2,44484
20220502,9,91210
20220503,6,88777
20220504,21,91296
20220505,15,89216
20220506,11,111962
20220507,5,81520
20220508,4,60719
20220509,11,83624
20220510,23,93265
20220511,10,118653
20220512,8,101180
20220513,9,111598
20220514,2,85225
20220515,11,64620
20220516,10,86590
20220517,26,99674
20220518,15,96924
20220519,11,103733
20220520,11,118465
20220521,11,95171
20220522,2,65809
20220523,11,96080
20220524,9,110578
20220525,7,96354
20220526,13,79434
20220527,17,96101
20220528,7,83352
20220529,10,59407
20220530,13,101866
20220531,20,94817
20220601,9,106616
20220602,11,105222
20220603,19,117198
20220604,9,68549
20220605,1,62745
20220606,0,68678
20220607,8,95515
20220608,24,108786
20220609,4,101268
20220610,9,124919
20220611,11,75379
20220612,3,64700
20220613,10,99110
20220614,13,97264
20220615,14,121986
20220616,11,108905
20220617,33,138414
20220618,10,93928
20220619,4,76156
20220620,15,95035
20220621,20,106234
20220622,15,108692
20220623,12,103739
20220624,11,122348
20220625,15,77634
20220626,5,54940
20220627,16,93988
20220628,32,98414
20220629,28,125281
20220630,18,106365
20220701,22,137973
20220702,11,77217
20220703,12,71073
20220704,8,102471
20220705,20,105500
20220706,11,102704
20220707,12,122127
20220708,9,119341
20220709,3,91102
20220710,11,68860
20220711,8,104203
20220712,8,118804
20220713,3,102626
20220714,4,92726
20220715,15,101598
20220716,37,69995
20220717,5,59785
20220718,17,83672
20220719,25,99091
20220720,5,93506
20220721,8,88713
20220722,4,88194
20220723,4,74043
20220724,11,54756
20220725,9,82541
20220726,7,93402
20220727,7,86195
20220728,7,88375
20220729,6,83082
20220730,4,56835
20220731,5,47102
20220801,36,258744
20220802,36,276896
20220803,32,310008
20220804,8,369716
20220805,28,314872
20220806,24,224944
20220807,48,198396
20220808,44,275120
20220809,24,284416
20220810,48,267360
20220811,52,287400
20220812,20,299464
20220813,48,249840
20220814,12,174536
20220815,72,202864
20220816,28,229116
20220817,48,291360
20220818,40,227952
20220819,64,286540
20220820,64,329768
20220821,12,110148
20220822,22,194706
20220823,32,204310
20220824,33,279166
20220825,12,116901
20220826,9,85218
20220827,4,69325
20220828,3,52578
20220829,17,76285
20220830,14,83194
20220831,24,101876
20220901,26,201660
20220902,16,208066
20220903,6,140278
20220904,38,131826
20220905,12,162568
20220906,16,177010
20220907,18,217354
20220908,34,254350
20220909,48,261430
20220910,32,143812
20220911,18,129408
20220912,26,182064
20220913,26,251458
20220914,46,200864
20220915,24,230844
20220916,26,233052
20220917,12,160098
20220918,10,132572
20220919,16,182862
20220920,40,182386
20220921,62,206634
20220922,40,228832
20220923,34,228502
20220924,34,157118
20220925,6,121202
20220926,32,216738
20220927,7,96389
20220928,18,108914
20220929,19,105425
20220930,20,106137
20221001,8,85586
20221002,9,67085
20221003,10,100756
20221004,13,107437
20221005,25,126977
20221006,14,106947
20221007,15,118571
20221008,6,75278
20221009,9,68774
20221010,11,86115
20221011,14,95566
20221012,23,121699
20221013,22,99644
20221014,29,116608
20221015,5,74299
20221016,2,63798
20221017,11,95576
20221018,16,103140
20221019,19,113028
20221020,23,120274
20221021,27,98990
20221022,28,77333
20221023,9,62998
20221024,11,91502
20221025,6,100159
20221026,19,106226
20221027,23,100016
20221028,13,105293
20221029,6,78058
20221030,2,55194
20221031,13,71574
20221101,4,46691
20221102,7,88126
20221103,12,93893
20221104,42,115940
20221105,21,75732
20221106,51,66223
20221107,46,93142
20221108,31,105485
20221109,49,112012
20221110,19,96518
20221111,29,96226
20221112,14,69904
20221113,24,62289
20221114,14,100857
20221115,55,100864
20221116,28,120309
20221117,34,118576
20221118,34,146863
20221119,21,87252
20221120,15,67741
20221121,25,100664
20221122,6,105425
20221123,24,131549
20221124,7,116757
20221125,11,118263
20221126,18,79508
20221127,4,73653
20221128,13,94157
20221129,32,115286
20221130,15,116038
20221201,5,98709
20221202,18,122226
20221203,4,93536
20221204,7,67020
20221205,13,97017
20221206,18,114742
20221207,14,119710
20221208,5,97403
20221209,22,122542
20221210,6,90045
20221211,10,75855
20221212,23,87364
20221213,17,118424
20221214,14,123501
20221215,10,111720
20221216,15,133372
20221217,9,92804
20221218,19,68042
20221219,15,96585
20221220,6,69261
20221221,9,78466
20221222,3,85404
20221223,6,76016
20221224,9,57480
20221225,1,32821
20221226,8,53495
20221227,5,61015
20221228,18,70246
20221229,5,71970
20221230,4,108719
20221231,3,49662
20230101,1,37450
20230102,3,64307
20230103,10,79235
20230104,4,88799
20230105,12,89201
20230106,10,104904
20230107,3,66532
20230108,2,57288
20230109,6,79206
20230110,3,92375
20230111,18,98407
20230112,24,87923
20230113,15,109060
20230114,2,72261
20230115,9,63578
20230116,5,79740
20230117,19,92888
20230118,8,113898
20230119,16,101854
20230120,7,107473
20230121,3,73693
20230122,3,68752
20230123,15,91736
20230124,8,91329
20230125,8,112338
20230126,15,105654
20230127,7,103072
20230128,12,60256
20230129,3,74913
20230130,6,76272
20230131,8,84766
20230201,9,100669
20230202,8,104716
20230203,7,111701
20230204,10,68604
20230205,1,59127
20230206,5,91620
20230207,9,82585
20230208,15,105869
20230209,12,89116
20230210,10,107660
20230211,18,78691
20230212,8,76192
20230213,13,81129
20230214,8,98994
20230215,7,103874
20230216,6,105308
20230217,24,119244
20230218,0,68214
20230219,1,59687
20230220,5,83694
20230221,4,87390
20230222,8,98550
20230223,5,98184
20230224,32,119216
20230225,20,67469
20230226,6,67098
20230227,4,86183
20230228,8,82830
20230301,12,95162
20230302,13,97709
20230303,35,104172
20230304,11,79648
20230305,8,65975
20230306,15,96872
20230307,9,69633
20230308,12,120159
20230309,10,109763
20230310,15,116993
20230311,9,81902
20230312,7,63261
20230313,14,88866
20230314,8,80832
20230315,9,112072
20230316,8,125232
20230317,6,114432
20230318,15,84715
20230319,7,77102
20230320,22,70926
20230321,11,102509
20230322,6,123427
20230323,5,97973
20230324,15,113197
20230325,12,76531
20230326,6,70774
20230327,16,92968
20230328,17,97404
20230329,13,98465
20230330,19,109753
20230331,10,121070
20230401,4,80963
20230402,3,67634
20230403,11,79538
20230404,19,85113
20230405,9,120967
20230406,18,99475
20230407,14,116671
20230408,2,72852
20230409,7,52963
20230410,4,68992
20230411,19,82726
20230412,21,97719
20230413,15,109091
20230414,10,115567
20230415,8,78254
20230416,15,71805
20230417,11,89858
20230418,15,88246
20230419,9,120590
20230420,6,101475
20230421,26,121705
20230422,8,69207
20230423,15,71562
20230424,8,94302
20230425,5,83352
20230426,13,107661
20230427,12,94403
20230428,23,114006
20230429,7,72038
20230430,7,57070
20230501,9,52640
20230502,10,76296
20230503,11,105597
20230504,12,92295
20230505,7,99723
20230506,8,64975
20230507,8,67161
20230508,7,65223
20230509,6,90418
20230510,14,105335
20230511,7,91880
20230512,8,126132
20230513,7,81174
20230514,19,66261
20230515,15,92233
20230516,16,88248
20230517,10,105360
20230518,16,86148
20230519,8,104439
20230520,16,76841
20230521,6,84236
20230522,40,90453
20230523,12,99715
20230524,31,116442
20230525,29,106010
20230526,43,116117
20230527,13,71183
20230528,9,90339
20230529,13,80525
20230530,11,83948
20230531,16,100991
20230601,16,116388
20230602,8,104811
20230603,9,73094
20230604,17,68312
20230605,21,90622
20230606,11,97007
20230607,14,113207
20230608,18,108492
20230609,9,115960
20230610,5,76352
20230611,9,65635
20230612,29,88209
20230613,6,94884
20230614,23,110497
20230615,18,115942
20230616,35,104359
20230617,6,88000
20230618,12,75343
20230619,11,85325
20230620,15,95268
20230621,21,102245
20230622,33,119252
20230623,15,115087
20230624,12,84145
20230625,8,68731
20230626,12,77615
20230627,10,98316
20230628,18,93589
20230629,23,113858
20230630,9,110860
20230701,10,93868
20230702,11,75018
20230703,10,82643
20230704,4,112349
20230705,18,113561
20230706,8,121351
20230707,11,121530
20230708,14,78114
20230709,12,75326
20230710,11,78203
20230711,8,119290
20230712,8,100428
20230713,17,101997
20230714,9,94230
20230715,6,49486
20230716,2,64284
20230717,12,84454
20230718,16,78633
20230719,12,83913
20230720,9,82868
20230721,11,91278
20230722,9,55722
20230723,9,58772
20230724,22,75803
20230725,13,84497
20230726,9,110966
20230727,11,69874
20230728,13,99994
20230729,4,57503
20230730,3,50380
20230731,9,72526
20230801,7,70954
20230802,17,80340
20230803,6,73293
20230804,0,59363
20230805,14,62761
20230806,0,55061
20230807,6,61526
20230808,11,74501
20230809,11,81222
20230810,9,70014
20230811,2,73242
20230812,7,73773
20230813,2,47183
20230814,13,59624
20230815,5,60190
20230816,7,71658
20230817,7,74534
20230818,10,85695
20230819,4,67209
20230820,11,54384
20230821,7,75935
20230822,18,71291
20230823,11,79979
20230824,11,93955
20230825,12,80523
20230826,14,76654
20230827,11,65761
20230828,10,81922
20230829,16,80571
20230830,13,87974
20230831,7,86121
20230901,7,106858
20230902,13,74204
20230903,9,80232
20230904,9,83868
20230905,23,102331
20230906,34,105153
20230907,9,106866
20230908,24,127385
20230909,8,83359
20230910,4,87777
20230911,10,94065
20230912,11,100284
20230913,21,110508
20230914,24,123227
20230915,20,110795
20230916,1,67084
20230917,15,72860
20230918,16,83458
20230919,10,85850
20230920,24,107507
20230921,31,112453
20230922,7,131447
20230923,3,80916
20230924,5,85443
20230925,9,102027
20230926,35,109666
20230927,22,119230
20230928,16,124985
20230929,13,119665
20230930,16,93050
20231001,11,70188
20231002,15,99129
20231003,23,99466
20231004,16,131773
20231005,32,105328
20231006,16,116717
20231007,6,75244
20231008,2,86035
20231009,13,96465
20231010,20,108166
20231011,17,115704
20231012,9,98555
20231013,13,117022
20231014,22,99283
20231015,8,82356
20231016,3,115174
20231017,28,119674
20231018,8,120187
20231019,9,100527
20231020,9,127566
20231021,5,76165
20231022,3,70498
20231023,10,75637
20231024,9,90063
20231025,4,106247
20231026,4,104068
20231027,8,105628
20231028,7,87991
20231029,4,86804
20231030,3,83420
20231031,20,77665
20231101,12,84807
20231102,12,91339
20231103,13,99372
20231104,7,62951
20231105,10,79150
20231106,4,83627
20231107,16,94349
20231108,24,116145
20231109,5,104248
20231110,17,105262
20231111,8,69650
20231112,9,71324
20231113,8,86605
20231114,8,94766
20231115,14,107730
20231116,15,102247
20231117,7,111384
20231118,13,89589
20231119,8,76337
20231120,12,103057
20231121,18,91622
20231122,19,109739
20231123,37,102883
20231124,17,120319
20231125,9,101686
20231126,11,67077
20231127,25,77775
20231128,13,90773
20231129,39,108226
20231130,63,112398
20231201,36,115140
20231202,26,73267
20231203,21,90709
20231204,17,79223
20231205,31,93593
20231206,9,107216
20231207,23,98403
20231208,18,117664
20231209,18,75563
20231210,25,103404
20231211,36,96636
20231212,15,99503
20231213,41,111993
20231214,21,95005
20231215,33,110675
20231216,9,90024
20231217,13,82671
20231218,8,81178
20231219,6,82884
20231220,12,124399
