date,X_t,N_t
20210418,29,48154
20210419,79,81376
20210420,64,85132
20210421,91,92479
20210422,86,96895
20210423,92,118089
20210424,42,56502
20210425,40,54525
20210426,60,96044
20210427,62,89965
20210428,55,97507
20210429,59,109515
20210430,72,113871
20210501,25,46679
20210502,31,51331
20210503,51,73257
20210504,124,103889
20210505,101,103129
20210506,73,106658
20210507,85,110919
20210508,27,46826
20210509,27,48686
20210510,74,91677
20210511,117,91247
20210512,78,100012
20210513,59,70316
20210514,65,123467
20210515,32,49756
20210516,30,49738
20210517,49,96690
20210518,84,99058
20210519,81,104294
20210520,62,103834
20210521,103,134014
20210522,29,60588
20210523,17,40416
20210524,44,65745
20210525,93,90550
20210526,94,115147
20210527,80,126191
20210528,72,110755
20210529,77,67906
20210530,30,50671
20210531,122,108966
20210601,75,99054
20210602,67,103196
20210603,84,114167
20210604,65,148444
20210605,42,67384
20210606,37,61089
20210607,47,98550
20210608,54,85143
20210609,56,97960
20210610,53,108331
20210611,57,116756
20210612,28,70939
20210613,49,68790
20210614,56,85584
20210615,54,99979
20210616,76,108317
20210617,67,97279
20210618,70,125090
20210619,24,65238
20210620,28,60654
20210621,75,84759
20210622,99,108235
20210623,97,109972
20210624,68,106320
20210625,98,135457
20210626,26,79059
20210627,11,63226
20210628,60,84229
20210629,87,106290
20210630,81,108599
20210701,82,118175
20210702,50,130678
20210703,25,72065
20210704,34,60528
20210705,40,82548
20210706,73,102773
20210707,79,108689
20210708,98,111299
20210709,95,117544
20210710,37,69381
20210711,40,51110
20210712,81,100180
20210713,56,76394
20210714,54,63372
20210715,70,75773
20210716,69,112509
20210717,15,49114
20210718,28,46257
20210719,84,71733
20210720,85,72146
20210721,85,85117
20210722,68,80812
20210723,45,91162
20210724,40,49408
20210725,10,37753
20210726,85,71456
20210727,67,87867
20210728,37,74980
20210729,56,77803
20210730,55,104990
20210731,40,59184
20210801,18,42086
20210802,38,57807
20210803,40,71675
20210804,42,84354
20210805,55,68861
20210806,69,93614
20210807,24,57487
20210808,15,32452
20210809,38,67349
20210810,57,69327
20210811,87,72804
20210812,27,62908
20210813,44,75451
20210814,41,54687
20210815,37,38570
20210816,59,57506
20210817,43,60939
20210818,59,65142
20210819,31,62668
20210820,31,87544
20210821,27,55505
20210822,39,39786
20210823,23,60519
20210824,57,74655
20210825,42,73284
20210826,37,77465
20210827,56,98687
20210828,21,71792
20210829,19,37331
20210830,53,70053
20210831,48,83913
20210901,61,86434
20210902,61,93217
20210903,44,119883
20210904,35,71805
20210905,36,68774
20210906,56,78762
20210907,77,95718
20210908,90,104423
20210909,75,91104
20210910,113,124877
20210911,25,67734
20210912,29,53192
20210913,53,78473
20210914,85,89542
20210915,67,85465
20210916,68,102553
20210917,69,125618
20210918,31,63654
20210919,29,55503
20210920,57,82092
20210921,81,93509
20210922,112,106407
20210923,78,102069
20210924,85,95487
20210925,54,71438
20210926,42,66869
20210927,70,75894
20210928,66,97264
20210929,88,114595
20210930,87,104310
20211001,84,109576
20211002,36,59997
20211003,24,79040
20211004,72,88928
20211005,56,114286
20211006,47,91333
20211007,100,104236
20211008,61,125467
20211009,49,54147
20211010,43,48774
20211011,71,76209
20211012,75,99741
20211013,65,94563
20211014,92,102749
20211015,78,111621
20211016,48,80740
20211017,9,56201
20211018,61,89935
20211019,57,101478
20211020,104,275924
20211021,96,95132
20211022,92,114249
20211023,37,50918
20211024,25,51085
20211025,67,94160
20211026,62,87184
20211027,66,101823
20211028,62,91729
20211029,58,88352
20211030,34,57437
20211031,51,53739
20211101,34,48770
20211102,65,79497
20211103,71,109914
20211104,91,96233
20211105,97,105507
20211106,19,70127
20211107,28,57020
20211108,56,87972
20211109,61,88531
20211110,63,84153
20211111,31,74739
20211112,50,100602
20211113,34,58062
20211114,38,54584
20211115,61,93539
20211116,100,98915
20211117,81,101407
20211118,94,109096
20211119,83,119562
20211120,50,71633
20211121,39,62104
20211122,50,88703
20211123,83,99955
20211124,103,106393
20211125,98,107661
20211126,91,121835
20211127,53,74755
20211128,35,52148
20211129,72,92107
20211130,57,104520
20211201,67,109057
20211202,63,105657
20211203,59,109279
20211204,50,69207
20211205,23,70324
20211206,53,79234
20211207,71,85639
20211208,98,110306
20211209,87,122307
20211210,67,138810
20211211,50,98039
20211212,16,63856
20211213,62,80920
20211214,62,90818
20211215,82,115249
20211216,72,112150
20211217,91,137684
20211218,51,73540
20211219,26,53264
20211220,71,87339
20211221,83,69854
20211222,59,102365
20211223,72,79532
20211224,48,58993
20211225,22,32640
20211226,40,48575
20211227,78,59770
20211228,67,72018
20211229,57,69561
20211230,49,68468
20211231,34,63024
20220101,52,81172
20220102,36,95110
20220103,82,89709
20220104,80,87733
20220105,85,89317
20220106,92,102723
20220107,46,106658
20220108,44,62052
20220109,33,57769
20220110,92,96000
20220111,79,95051
20220112,129,104574
20220113,77,99681
20220114,99,127047
20220115,39,76994
20220116,35,59711
20220117,53,87335
20220118,66,86961
20220119,64,106507
20220120,59,106188
20220121,56,116123
20220122,38,83757
20220123,27,55192
20220124,50,95651
20220125,99,110224
20220126,99,114426
20220127,97,131234
20220128,59,119234
20220129,31,73643
20220130,14,54946
20220131,66,88513
20220201,79,103186
20220202,68,118310
20220203,76,113006
20220204,48,109451
20220205,23,77042
20220206,30,63977
20220207,63,91714
20220208,53,104125
20220209,61,112529
20220210,42,106085
20220211,66,108990
20220212,35,84130
20220213,22,65063
20220214,42,99687
20220215,64,106003
20220216,54,121476
20220217,52,113334
20220218,65,204963
20220219,21,87169
20220220,29,86284
20220221,74,106868
20220222,115,397700
20220223,48,109723
20220224,52,99910
20220225,65,104641
20220226,29,85219
20220227,26,62855
20220228,45,91853
20220301,43,84088
20220302,40,116801
20220303,43,101643
20220304,50,121247
20220305,29,88274
20220306,15,61308
20220307,40,98984
20220308,74,111722
20220309,74,111501
20220310,66,121431
20220311,59,109158
20220312,50,93381
20220313,28,65265
20220314,71,104351
20220315,70,113355
20220316,72,108532
20220317,93,116817
20220318,70,124546
20220319,46,85876
20220320,29,68550
20220321,50,95096
20220322,70,101397
20220323,46,105924
20220324,45,112298
20220325,86,143310
20220326,59,74753
20220327,28,62880
20220328,44,99921
20220329,53,118504
20220330,90,103045
20220331,81,113886
20220401,79,138118
20220402,28,75699
20220403,23,67369
20220404,73,109426
20220405,67,116019
20220406,63,116147
20220407,56,116728
20220408,95,146296
20220409,29,72253
20220410,22,63400
20220411,38,97879
20220412,62,103682
20220413,36,111090
20220414,40,108466
20220415,45,111375
20220416,18,83182
20220417,29,62796
20220418,60,83445
20220419,65,100652
20220420,49,113649
20220421,61,111536
20220422,51,122431
20220423,12,56810
20220424,35,72919
20220425,58,78707
20220426,69,93780
20220427,63,114794
20220428,101,93980
20220429,28,94687
20220430,37,60060
20220501,7,44484
20220502,54,91210
20220503,46,88777
20220504,94,91296
20220505,51,89216
20220506,68,111962
20220507,43,81520
20220508,20,60719
20220509,58,83624
20220510,54,93265
20220511,80,118653
20220512,44,101180
20220513,50,111598
20220514,48,85225
20220515,26,64620
20220516,109,86590
20220517,136,99674
20220518,48,96924
20220519,87,103733
20220520,177,118465
20220521,88,95171
20220522,27,65809
20220523,124,96080
20220524,101,110578
20220525,83,96354
20220526,58,79434
20220527,86,96101
20220528,14,83352
20220529,15,59407
20220530,64,101866
20220531,58,94817
20220601,73,106616
20220602,65,105222
20220603,67,117198
