date,X_t,N_t
20220329,168,118504
20220330,124,103045
20220331,152,113886
20220401,179,138118
20220402,63,75699
20220403,99,67369
20220404,192,109426
20220405,148,116019
20220406,146,116147
20220407,124,116728
20220408,195,146296
20220409,86,72253
20220410,86,63400
20220411,145,97879
20220412,191,103682
20220413,173,111090
20220414,126,108466
20220415,119,111375
20220416,58,83182
20220417,82,62796
20220418,97,83445
20220419,119,100652
20220420,165,113649
20220421,237,111536
20220422,176,122431
20220423,42,56810
20220424,120,72919
20220425,218,78707
20220426,155,93780
20220427,129,114794
20220428,115,93980
20220429,114,94687
20220430,36,60060
20220501,47,44484
20220502,84,91210
20220503,112,88777
20220504,108,91296
20220505,139,89216
20220506,140,111962
20220507,98,81520
20220508,84,60719
20220509,118,83624
20220510,103,93265
20220511,138,118653
20220512,109,101180
20220513,126,111598
20220514,83,85225
20220515,50,64620
20220516,131,86590
20220517,112,99674
20220518,97,96924
20220519,150,103733
20220520,163,118465
20220521,92,95171
20220522,66,65809
20220523,109,96080
20220524,124,110578
20220525,86,96354
20220526,48,79434
20220527,96,96101
20220528,61,83352
20220529,45,59407
20220530,107,101866
20220531,85,94817
20220601,129,106616
20220602,95,105222
20220603,121,117198
20220604,76,68549
20220605,68,62745
20220606,121,68678
20220607,108,95515
20220608,101,108786
20220609,110,101268
20220610,159,124919
20220611,103,75379
20220612,62,64700
20220613,95,99110
20220614,116,97264
20220615,102,121986
20220616,172,108905
20220617,147,138414
20220618,60,93928
20220619,91,76156
20220620,133,95035
20220621,152,106234
20220622,145,108692
20220623,138,103739
20220624,175,122348
20220625,64,77634
20220626,55,54940
20220627,118,93988
20220628,120,98414
20220629,165,125281
20220630,98,106365
20220701,155,137973
20220702,53,77217
20220703,67,71073
20220704,137,102471
20220705,95,105500
20220706,82,102704
20220707,100,122127
20220708,103,119341
20220709,68,91102
20220710,105,68860
20220711,107,104203
20220712,114,118804
20220713,113,102626
20220714,102,92726
20220715,122,101598
20220716,57,69995
20220717,45,59785
20220718,86,83672
20220719,114,99091
20220720,105,93506
20220721,133,88713
20220722,111,88194
20220723,64,74043
20220724,36,54756
20220725,103,82541
20220726,84,93402
20220727,96,86195
20220728,106,88375
