date,N_1gram,N_2gram,guerre,gaulle,communiste,algerie,europe,francs,euro,chomage,internet,nucleaire,climat,terrorisme,immigration,television,mondialisation,croissance,milliards,mitterrand,chirac,sarkozy,hollande,macron,crise,islam,attentats,irak,inflation,covid,confinement,vaccin,russie,ukraine,poutine,gaza,retraites,jeux,dissolution,zemmour,etudiants,intelligence_artificielle,president,gouvernement,economie
19450203,9762,8538.0,28,13,1,0,2,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,14,24,0
19450205,13339,11621.0,44,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0.0,4,28,1
19450206,9386,8159.0,33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,13,26,1
19450207,10321,8840.0,23,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,6,20,0
19450208,10422,9029.0,20,6,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,13,4
19450209,10486,9082.0,19,1,7,1,1,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,9,24,0
19450210,10429,8927.0,37,5,3,0,2,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0.0,11,20,0
19450212,11167,9666.0,31,3,1,0,0,18,0,3,0,0,1,0,1,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,6,21,0
19450213,11010,9453.0,28,12,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0.0,7,15,0
19450214,10580,9236.0,37,5,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,16,46,0
19450215,10029,8716.0,24,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,8,28,1
19450216,10302,8888.0,22,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,8,29,1
19450217,10437,9127.0,25,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,7,27,0
19450219,12021,10347.0,37,0,1,0,2,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,9,17,0
19450220,10419,9023.0,20,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,6,24,1
19450221,11147,9667.0,17,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,12,29,0
19450222,10541,9107.0,22,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,35,31,1
19450223,10770,9237.0,22,18,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,13,26,1
