date,X_t,N_t
20211129,16,92107
20211130,80,104520
20211201,39,109057
20211202,43,105657
20211203,31,109279
20211204,19,69207
20211205,23,70324
20211206,27,79234
20211207,24,85639
20211208,28,110306
20211209,17,122307
20211210,70,138810
20211211,39,98039
20211212,13,63856
20211213,10,80920
20211214,19,90818
20211215,30,115249
20211216,44,112150
20211217,70,137684
20211218,10,73540
20211219,14,53264
20211220,28,87339
20211221,14,69854
20211222,50,102365
20211223,49,79532
20211224,5,58993
20211225,15,32640
20211226,36,48575
20211227,24,59770
20211228,23,72018
20211229,21,69561
20211230,19,68468
20211231,16,63024
20220101,34,81172
20220102,10,95110
20220103,19,89709
20220104,14,87733
20220105,16,89317
20220106,39,102723
20220107,30,106658
20220108,13,62052
20220109,15,57769
20220110,23,96000
20220111,16,95051
20220112,59,104574
20220113,24,99681
20220114,48,127047
20220115,8,76994
20220116,12,59711
20220117,29,87335
20220118,18,86961
20220119,29,106507
20220120,29,106188
20220121,44,116123
20220122,17,83757
20220123,11,55192
20220124,24,95651
20220125,40,110224
20220126,63,114426
20220127,44,131234
20220128,26,119234
20220129,24,73643
20220130,23,54946
20220131,22,88513
20220201,38,103186
20220202,34,118310
20220203,29,113006
20220204,46,109451
20220205,33,77042
20220206,19,63977
20220207,33,91714
20220208,51,104125
20220209,31,112529
20220210,34,106085
20220211,33,108990
20220212,31,84130
20220213,28,65063
20220214,30,99687
20220215,34,106003
20220216,50,121476
20220217,24,113334
20220218,92,204963
20220219,41,87169
20220220,36,86284
20220221,52,106868
20220222,235,397700
20220223,70,109723
20220224,171,99910
20220225,172,104641
20220226,124,85219
20220227,75,62855
20220228,200,91853
20220301,198,84088
20220302,265,116801
20220303,240,101643
20220304,240,121247
20220305,202,88274
20220306,98,61308
20220307,204,98984
20220308,172,111722
20220309,202,111501
20220310,232,121431
20220311,190,109158
20220312,166,93381
20220313,80,65265
20220314,173,104351
20220315,207,113355
20220316,232,108532
20220317,199,116817
20220318,224,124546
20220319,115,85876
20220320,97,68550
20220321,115,95096
20220322,166,101397
20220323,223,105924
20220324,200,112298
20220325,231,143310
