mot,categorie,source
permettre,verbe,lexique
l'heure,nom,lexique
produits,nom,lexique
enfants,nom,lexique
gens,nom,lexique
octobre,nom,lexique
sociale,adj,lexique
populaire,adj,lexique
paul,nom_propre,spacy
série,nom,lexique
longue,nom,lexique
faisant,verbe,lexique
l'avenir,nom,lexique
risque,nom,lexique
choses,nom,lexique
françaises,nom,lexique
jeudi,nom,lexique
confiance,nom,lexique
demander,verbe,lexique
novembre,nom,lexique
nature,nom,lexique
petite,nom,lexique
jusqu'au,autre,lexique
réponse,nom,lexique
prises,nom,lexique
terme,nom,lexique
certes,autre,lexique
europe,nom_propre,spacy
choix,nom,lexique
chambre,nom,lexique
quinze,autre,lexique
rapidement,autre,lexique
importante,adj,lexique
viennent,verbe,lexique
rencontre,nom,lexique
développement,nom,lexique
poste,nom,lexique
s'y,nom,lexique
kilomètres,nom,lexique
samedi,nom,lexique
cour,nom,lexique
zone,nom,lexique
concerne,verbe,lexique
affirme,verbe,lexique
yeux,nom,lexique
social,nom,lexique
atteint,adj,lexique
niveau,nom,lexique
publics,nom,lexique
etc,autre,lexique
tient,verbe,lexique
heure,nom,lexique
résultat,nom,lexique
mer,nom,lexique
puisse,verbe,lexique
présente,nom,lexique
famille,nom,lexique
faite,adj,lexique
compris,adj,lexique
membre,nom,lexique
laisser,verbe,lexique
vice,nom,lexique
victoire,nom,lexique
matière,nom,lexique
feu,nom,lexique
libération,nom,lexique
prochaine,nom,lexique
commun,nom,lexique
mme,nom,lexique
entreprises,nom,lexique
européenne,nom,lexique
preuve,nom,lexique
mercredi,nom,lexique
termes,nom,lexique
caractère,nom,lexique
passe,nom,lexique
jacques,nom_propre,manuel
précisé,verbe,lexique
congrès,nom,lexique
bretagne,nom_propre,spacy
cent,nom,lexique
voulu,adj,lexique
l'économie,nom,lexique
groupes,nom,lexique
formation,nom,lexique
commerce,nom,lexique
présidence,nom,lexique
double,nom,lexique
femme,nom,lexique
domaine,nom,lexique
nécessité,nom,lexique
seuls,nom,lexique
prend,verbe,lexique
affirmé,verbe,lexique
département,nom,lexique
forte,adj,lexique
york,nom_propre,manuel
réalité,nom,lexique
permet,verbe,lexique
représentant,nom,lexique
fédération,nom,lexique
qualité,nom,lexique
durant,nom,lexique
quarante,nom,lexique
venir,verbe,lexique
mille,nom,lexique
avril,nom,lexique
terrain,nom,lexique
éléments,nom,lexique
radio,nom,lexique
action,nom,lexique
étrangers,nom,lexique
sort,nom,lexique
droite,nom,lexique
annonce,nom,lexique
finalement,autre,lexique
croire,verbe,lexique
technique,nom,lexique
d'autant,autre,lexique
l'aide,nom,lexique
certaine,adj,lexique
mot,nom,lexique
déclaration,nom,lexique
ensemble,nom,lexique
lettre,nom,lexique
amis,nom,lexique
entendu,adj,lexique
route,nom,lexique
visite,nom,lexique
produit,nom,lexique
concernant,autre,lexique
présenté,verbe,lexique
