composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
11,0.14390812,0.11820299,0.05057282,-0.03455334,-0.16295053,-0.16138160,-0.10465945,0.02175637,0.11685123,0.14814997,0.05938085,-0.04601727,-0.25959106,0.17398463,-0.03553510,-0.10473247,-0.04925157,0.23195536,-0.40155262,-0.13927250,0.23986763,0.35046326,0.05303087,-0.14812503,-0.25313748,-0.24868273,-0.16609854,-0.03317491,0.12368248,0.23705038,0.27985923
12,0.26172234,0.22177012,0.11713388,-0.05528117,-0.27668870,-0.33467414,-0.21584249,0.00983853,0.18130498,0.34159220,0.16567583,-0.17594292,-0.34535355,0.22992709,-0.04618058,-0.04566791,0.01752300,-0.15418955,0.22900715,0.07550620,-0.12754977,-0.19735048,-0.09477696,0.06707710,0.14463279,0.17460021,0.11257125,0.01703462,-0.07456156,-0.12360299,-0.09925451
13,-0.21952880,-0.17403325,0.04732002,0.27657537,0.21360610,0.10678965,-0.14017935,-0.24470558,-0.13813961,0.10018252,0.21072637,0.01527372,-0.28401165,0.17612765,-0.01472740,0.03987526,0.02260893,-0.12596999,0.32521518,-0.17648510,-0.26470794,0.01964675,0.24732715,0.19311912,-0.04214996,-0.16648951,-0.21533122,-0.17756835,-0.02911756,0.18883197,0.22991951
14,-0.20677370,-0.13561039,0.01121283,0.17631036,0.24109131,0.10922867,-0.12007004,-0.25200707,-0.13224979,0.00764201,0.29901472,0.13237021,-0.35412724,0.17268653,-0.01241675,0.09163253,-0.00904441,0.13349084,-0.30566493,0.24805170,0.20557060,-0.09829927,-0.20435828,-0.14779742,-0.02514713,0.09030112,0.20555064,0.22261421,0.05218293,-0.17001186,-0.22537292
15,-0.05072195,0.00920448,0.04692373,-0.01620052,-0.02705528,-0.00172531,-0.00053521,0.03449925,0.01917537,-0.01311970,0.02457223,-0.05865940,0.05431241,-0.00124700,-0.00377323,-0.01928615,-0.01573073,0.10207460,-0.37891562,0.52296052,-0.08249082,-0.39320907,-0.04831173,0.27510841,0.24313844,-0.01408937,-0.29942400,-0.25434014,-0.09028302,0.20270844,0.23444039
16,0.32350002,0.02919843,-0.18004988,-0.22946678,-0.09023391,0.12318029,0.24187174,0.15062555,-0.16992953,-0.36198521,0.00082924,0.53593235,-0.44561846,0.13891632,-0.02637190,-0.03441781,0.01443232,-0.04231972,0.06684765,-0.00054325,-0.05037271,-0.03391742,-0.02200811,0.05045754,0.05827986,0.00946002,0.01599996,-0.10876019,-0.06456379,0.04991382,0.05111356
17,0.32911332,-0.01310001,-0.25501557,-0.19868158,0.13021996,0.12029283,-0.00066429,-0.12826607,0.02651261,0.10907063,0.02530693,-0.11015419,0.03571168,0.00063347,-0.01514375,-0.04194999,0.00722946,-0.01230205,-0.09508957,0.31190148,-0.37296777,-0.02401857,0.38865618,0.07743888,-0.29810857,-0.23859081,0.01510109,0.29248132,0.16167206,-0.00480846,-0.22248067
18,0.27953465,0.00755293,-0.26857230,-0.22643833,0.00984520,0.34916248,0.15191627,-0.29840146,-0.25968392,0.22322283,0.27928186,-0.33217234,0.11083677,-0.01927576,-0.00346989,-0.02103720,0.00425908,-0.00824049,-0.00005582,-0.13408161,0.22581722,-0.01698092,-0.09976743,-0.06389476,0.06562034,0.14100561,0.08607236,-0.15892899,-0.25576608,0.03619968,0.19644003
19,-0.19932726,0.19931483,0.24555307,-0.16098325,-0.23181717,0.01829476,0.25213274,0.16109496,-0.28461581,-0.24603295,0.52729366,-0.25879323,0.02823341,0.00836478,0.00404937,-0.01360901,0.00052902,-0.01173724,0.04131521,-0.03739768,-0.06984687,0.06656680,-0.03151601,0.04720438,0.09366346,-0.17986818,-0.16885311,0.14684666,0.22486703,0.03896690,-0.20989327
20,-0.21651562,0.14143863,0.10888804,0.05593283,-0.19192548,0.01356253,0.11250570,-0.00604808,-0.05967961,-0.06408386,0.06379902,-0.00611085,0.00931034,-0.00170471,0.00642632,0.01346465,-0.01055049,0.02682241,-0.08485800,0.27878846,-0.45778901,0.31475402,0.09732702,-0.28089016,-0.14457489,0.16564698,0.32915334,-0.07158705,-0.34528230,-0.08754552,0.29132533
21,-0.18071940,0.09807831,0.20568737,-0.00160852,-0.22530262,-0.04371277,0.26961631,-0.05848685,-0.13517179,0.11307066,-0.10563065,0.07664762,-0.03527660,0.00726722,0.00066784,-0.00092106,-0.00604285,0.01440934,-0.00403363,-0.09240989,0.31156244,-0.49829539,0.40759532,0.11204297,-0.34814657,-0.07844834,0.21643994,0.07456728,-0.12592371,-0.04790913,0.08038716
22,0.30891674,-0.40647915,-0.15853334,0.49146815,-0.04367705,-0.38073242,0.14917220,0.33116228,-0.34287529,0.00244205,0.15100705,-0.11449702,0.06786711,-0.03258416,0.00335618,-0.01879617,-0.00400115,0.00715002,-0.04706371,0.03693918,0.01359308,-0.02589253,0.06554372,-0.05682255,-0.07318096,0.08773575,-0.00409357,0.03935171,-0.07844505,0.03902572,-0.00705682
23,0.06386106,0.03916993,-0.12999003,0.00304115,0.12904447,-0.00620935,-0.34266259,0.15064579,0.37246158,-0.54941903,0.37088601,-0.15563695,0.06128448,-0.02278229,0.00492449,-0.01226900,-0.00617594,0.00267901,0.03717480,-0.07998629,0.13195751,-0.17798761,0.13299610,0.05852247,-0.17175564,0.00251840,0.11458865,0.04243026,-0.17212686,-0.11269201,0.22150740
24,0.15097356,-0.31093522,0.23357160,0.06445413,-0.26552412,0.12326212,0.12687820,-0.30496519,0.32891951,-0.18680449,0.08623148,-0.01951478,0.00541582,-0.00570483,-0.00488988,-0.00276520,0.00011843,0.00595448,-0.00535063,0.00652716,-0.00428017,-0.07388375,0.24873348,-0.32472402,0.00792625,0.31241268,-0.09485499,-0.25922582,0.20377664,0.18754459,-0.22927702
25,0.16399641,-0.34381806,0.21396349,0.12038926,-0.27006100,0.06976113,0.19468000,-0.28094328,0.24347412,-0.09765195,-0.02123039,-0.00902182,0.02374104,-0.01184807,0.00714090,-0.00298097,0.00118363,-0.01467166,-0.00364555,-0.00085423,-0.02852543,0.13298796,-0.31900440,0.36027558,0.03243956,-0.35188410,0.11751634,0.27902180,-0.22779520,-0.06209332,0.08545821
26,-0.05707542,0.08449466,-0.07761586,-0.00835682,0.17073529,-0.22288792,0.07728023,-0.03322415,0.07462242,-0.04444791,0.06100966,-0.04728705,0.02785814,-0.00290278,-0.00586585,0.01276177,0.00062085,0.00316015,-0.01202053,0.00629804,0.01160543,0.03300672,-0.08596495,0.10778686,-0.00954697,-0.26514825,0.52335178,-0.39468803,-0.07103207,0.48844022,-0.34496769
27,-0.00292053,0.15035445,-0.31561852,0.38268477,-0.36360357,0.23991528,-0.10680421,-0.00112570,0.00555472,0.01199852,-0.01418840,0.01420654,0.02411161,-0.02055242,-0.00150994,-0.01313902,0.00269668,0.00008019,-0.02171713,0.01136147,0.01042593,-0.08555698,0.10843333,-0.12880390,0.32144830,-0.38080803,0.21931116,-0.18214615,0.30938707,-0.24739245,0.07391691
28,-0.10351252,0.33007472,-0.38651698,0.19647820,0.10550277,-0.38166035,0.47519576,-0.39343586,0.21878126,-0.11408027,0.04547023,0.00229628,-0.01571371,-0.00075064,0.00717430,-0.00594483,0.00377692,-0.01972562,0.00960862,-0.01464191,0.00115683,0.02534104,-0.04247695,0.05218010,-0.01088523,0.12514191,-0.20930227,0.06034158,0.07873390,-0.10761961,0.06901233
29,-0.10264296,0.23783467,-0.26602405,0.30350590,-0.35959964,0.31509244,-0.17943290,0.06436559,0.01006809,-0.00415332,-0.04739309,0.03318876,0.00099009,0.00648304,-0.00073576,0.02385784,-0.00445198,0.01500704,-0.00065797,-0.01641612,0.01433208,0.04272614,-0.10601908,0.19070227,-0.24186505,0.23985306,-0.17190668,0.17541420,-0.23417903,0.36097700,-0.29892058
30,0.02967116,-0.04342185,0.03195944,0.00965771,-0.07007712,0.06691037,-0.01021743,0.02424823,-0.06920391,0.01057922,0.04124656,-0.02585894,0.02856071,-0.02077894,-0.00044617,0.00079177,0.00301320,-0.00060660,-0.01974941,0.04510003,-0.04730128,0.09284621,-0.24298895,0.43020390,-0.47700616,0.23979775,0.11746517,-0.38743057,0.43938891,-0.26968652,0.07333352
31,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530,0.17960530
