mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
jean,19940323,1777,572975,310.14,1.99e-08,7.7,1
jean,19970524,1648,585892,281.28,1.964e-07,6.71,0
jean,19980319,2195,575397,381.48,5.919e-11,10.23,1
jean,20010316,5334,1525842,349.58,7.128e-10,9.15,1
jean,20020503,2654,1005176,264.03,7.127e-07,6.15,2
jean,20040326,2010,723999,277.62,2.541e-07,6.59,1
jean,20070608,1365,674741,202.3,7.98e-05,4.1,0
porte,19910216,210,380590,55.18,3.836e-05,4.42,0
porte,20030321,350,632832,55.31,1.184e-05,4.93,0
porte,20120427,453,841614,53.83,1.982e-05,4.7,0
porte,20150109,349,644622,54.14,2.44e-05,4.61,0
soir,19471201,58,69475,83.48,4.396e-05,4.36,0
soir,19680522,250,346177,72.22,5.052e-05,4.3,0
soir,19760821,232,275860,84.1,2.748e-06,5.56,0
millions,19541217,344,250459,137.35,3.26e-05,4.49,0
droit,19460826,135,168567,80.09,2.014e-05,4.7,2
droit,19981204,469,591259,79.32,2.375e-06,5.62,0
demande,19460809,116,165039,70.29,1.47e-06,5.83,3
demande,19500222,197,181034,108.82,4.962e-16,15.3,0
demande,19530217,102,163418,62.42,5.006e-05,4.3,0
demande,19561103,162,254626,63.62,7.409e-06,5.13,0
demande,19600916,159,252733,62.91,1.066e-05,4.97,0
demande,19680522,197,346177,56.91,9.069e-05,4.04,0
raison,19490416,78,144458,53.99,2.657e-05,4.58,0
raison,19501102,103,185973,55.38,2.314e-06,5.64,0
raison,19840816,193,339002,56.93,1.165e-08,7.93,1
nord,19450107,185,77964,237.29,7.586e-17,16.12,16
nord,19500821,237,146466,161.81,9.551e-11,10.02,12
nord,19640810,358,229538,155.97,1.298e-10,9.89,1
nord,19660806,239,243156,98.29,3.452e-05,4.46,2
nord,19680126,387,317565,121.86,1.906e-07,6.72,0
nord,19720513,395,357034,110.63,1.981e-06,5.7,0
nord,19760506,543,524735,103.48,7.237e-06,5.14,0
nord,20061013,548,427322,128.24,3.514e-08,7.45,0
vue,19450528,66,85243,77.43,1.395e-05,4.86,2
matin,19471201,108,69475,155.45,4.707e-08,7.33,2
mettre,20200501,244,547632,44.56,2.092e-05,4.68,0
aucun,19471209,41,68427,59.92,2.445e-05,4.61,0
aucun,19601104,120,250719,47.86,1.303e-05,4.88,0
sécurité,19450629,114,97013,117.51,4.767e-07,6.32,0
sécurité,19460322,120,120899,99.26,1.463e-05,4.83,0
sécurité,19500703,169,193256,87.45,9.191e-05,4.04,0
sécurité,19550719,185,212375,87.11,8.971e-05,4.05,0
sécurité,19580729,187,211836,88.28,7.001e-05,4.15,0
sécurité,19600823,212,216194,98.06,7.848e-06,5.11,1
sécurité,20030214,499,541713,92.12,1.484e-05,4.83,1
sécurité,20060811,266,288166,92.31,2.155e-05,4.67,0
sécurité,20151120,606,642428,94.33,8.117e-06,5.09,0
ville,19450407,119,74241,160.29,3.446e-09,8.46,1
ville,19950618,487,503898,96.65,7.009e-05,4.15,0
membres,19450629,124,97013,127.82,4.156e-09,8.38,0
national,19450201,77,74306,103.63,1.772e-06,5.75,0
national,19451130,100,121341,82.41,8.697e-05,4.06,0
national,19850313,417,393355,106.01,6.034e-09,8.22,0
national,19950618,409,503898,81.17,1.618e-05,4.79,0
national,19970329,816,802101,101.73,1.163e-08,7.93,2
national,19980319,564,575397,98.02,5.815e-08,7.24,1
national,19981212,424,453141,93.57,3.397e-07,6.47,0
national,20020426,1192,1190389,100.14,1.571e-08,7.8,1
national,20151211,491,604156,81.27,1.373e-05,4.86,0
national,20170505,540,670182,80.58,1.595e-05,4.8,1
national,20240705,673,704347,95.55,1.128e-07,6.95,3
donné,19450731,59,116418,50.68,7.764e-05,4.11,0
américain,20010914,940,1245878,75.45,6.551e-05,4.18,0
américain,20030321,719,632832,113.62,2.384e-09,8.62,2
américain,20130809,308,405763,75.91,8.858e-05,4.05,0
américain,20250411,477,636051,74.99,8.926e-05,4.05,0
prix,19470103,407,151550,268.56,1.925e-09,8.72,3
prix,19471106,279,146003,191.09,8.836e-06,5.05,1
prix,19490117,246,135034,182.18,2.317e-05,4.64,0
prix,19491005,334,178685,186.92,1.188e-05,4.93,1
prix,19511003,391,139323,280.64,5.444e-10,9.26,1
prix,19520917,373,208566,178.84,2.509e-05,4.6,0
tête,20120420,703,923859,76.09,1.489e-06,5.83,1
tête,20151211,408,604156,67.53,3.112e-05,4.51,1
tête,20170609,567,708899,79.98,4.605e-07,6.34,0
tête,20190524,471,701472,67.14,3.243e-05,4.49,0
tête,20240628,549,828240,66.29,3.942e-05,4.4,1
république,19460927,247,156428,157.9,1.041e-07,6.98,1
république,19580908,336,222661,150.9,2.141e-07,6.67,4
république,19600908,294,232286,126.57,8.84e-06,5.05,1
république,19621008,468,317250,147.52,2.811e-07,6.55,1
république,19670313,419,341134,122.83,1.262e-05,4.9,1
république,19690502,476,415010,114.7,3.979e-05,4.4,0
plan,19470705,179,135126,132.47,2.015e-06,5.7,1
plan,19501025,206,184967,111.37,4.575e-05,4.34,0
plan,19640928,345,321671,107.25,6.275e-05,4.2,0
plan,19650930,338,304362,111.05,3.446e-05,4.46,0
plan,20081003,488,456863,106.82,5.838e-05,4.23,0
nombreux,19540902,114,243006,46.91,9.177e-06,5.04,0
semaine,19630328,164,271602,60.38,1.596e-08,7.8,0
