mot,date,X_t,N_t,f_t,p_t,surprise
pris,19450424,55,89029,61.78,9.939e-05,4.00
pris,19561103,133,254626,52.23,4.999e-05,4.30
pris,19610424,132,249277,52.95,3.278e-05,4.48
certains,20200417,424,585006,72.48,6.564e-05,4.18
ministre,19740410,757,397241,190.56,9.775e-05,4.01
ministre,19760830,722,304998,236.72,2.149e-07,6.67
ministre,19840723,732,362841,201.74,2.420e-05,4.62
ministre,19860322,754,383468,196.63,4.584e-05,4.34
nouvelle,19841201,347,406085,85.45,9.543e-05,4.02
nouvelle,19850122,359,383188,93.69,2.975e-06,5.53
nouvelle,19850816,368,327066,112.52,3.993e-10,9.40
nouvelle,19850824,300,319316,93.95,4.304e-06,5.37
nouvelle,19850902,290,332638,87.18,6.903e-05,4.16
nouvelle,19860322,333,383468,86.84,5.973e-05,4.22
nouvelle,19870827,277,318649,86.93,8.365e-05,4.08
nouvelle,19890508,299,333268,89.72,2.410e-05,4.62
nouvelle,20050902,724,817997,88.51,8.556e-06,5.07
nouvelle,20240524,625,721674,86.60,2.445e-05,4.61
près,20150807,285,383445,74.33,3.510e-06,5.45
près,20220812,1184,1765880,67.05,2.205e-05,4.66
chef,19450503,102,93625,108.95,1.579e-05,4.80
chef,19580610,235,234853,100.06,1.541e-05,4.81
chef,19600128,277,252755,109.59,6.907e-07,6.16
chef,19600205,258,271958,94.87,5.535e-05,4.26
chef,19600309,257,243829,105.40,2.823e-06,5.55
chef,19600908,276,232286,118.82,4.055e-08,7.39
chef,19600916,246,252733,97.34,3.025e-05,4.52
chef,19600924,246,251812,97.69,2.742e-05,4.56
chef,19601112,241,249195,96.71,3.714e-05,4.43
chef,19610503,221,223474,98.89,2.384e-05,4.62
chef,19610909,231,245479,94.10,8.028e-05,4.10
question,19450724,108,91199,118.42,1.674e-07,6.78
question,19450910,107,115772,92.42,7.321e-05,4.14
question,19450918,92,98953,92.97,9.585e-05,4.02
question,19460118,126,132089,95.39,2.442e-05,4.61
question,19460209,112,118834,94.25,4.308e-05,4.37
question,19460314,103,105976,97.19,2.773e-05,4.56
question,19460322,128,120899,105.87,1.800e-06,5.74
question,19460330,122,116237,104.96,2.645e-06,5.58
question,19460408,123,116563,105.52,2.242e-06,5.65
question,19460416,126,102337,123.12,2.512e-08,7.60
question,19460503,115,121688,94.50,3.796e-05,4.42
question,19460629,139,154225,90.13,6.940e-05,4.16
question,19460903,145,156373,92.73,3.367e-05,4.47
question,19460911,147,156146,94.14,2.298e-05,4.64
question,19460919,141,146773,96.07,1.568e-05,4.80
question,19461202,127,140965,90.09,8.438e-05,4.07
question,19470211,130,136608,95.16,2.387e-05,4.62
question,19491107,160,174532,91.67,3.577e-05,4.45
question,19540902,253,243006,104.11,4.548e-07,6.34
gouvernement,19451122,473,119584,395.54,2.548e-05,4.59
cas,19720212,289,327476,88.25,3.906e-05,4.41
cas,20090501,352,377296,93.30,3.943e-06,5.40
cas,20200228,770,637869,120.71,1.355e-12,11.87
cas,20200306,717,606787,118.16,6.469e-12,11.19
cas,20200313,957,681002,140.53,8.610e-18,17.07
cas,20200320,946,644636,146.75,2.191e-19,18.66
cas,20200327,758,610219,124.22,2.144e-13,12.67
cas,20200403,726,622419,116.64,1.385e-11,10.86
cas,20200410,574,538176,106.66,3.770e-09,8.42
cas,20200417,536,585006,91.62,3.680e-06,5.43
cas,20200424,546,558650,97.74,2.557e-07,6.59
cas,20200501,614,547632,112.12,2.210e-10,9.66
