mot,total,jours_actifs,n_medias
ouvert,1447552,6809,36
actuelle,393975,6805,36
douze,552987,6808,36
l'agence,978052,6809,36
nécessaires,450707,6807,36
l'esprit,422093,6809,36
condition,371101,6808,36
vite,1238252,6809,36
vraiment,1481062,6809,36
possibilité,805201,6808,36
l'industrie,451026,6805,36
l'accord,471365,6802,36
reprise,905328,6809,36
aller,1381868,6809,36
derrière,1279602,6809,36
recherche,1334348,6809,36
opérations,541683,6808,36
perdu,997382,6809,36
l'allemagne,465035,6801,36
août,2376771,6809,36
milieu,1466717,6809,36
menace,507173,6809,36
conséquences,524802,6807,36
constitue,314169,6805,36
réussi,862416,6809,36
palais,508701,6808,36
pouvoirs,255366,6799,36
entendre,385410,6809,36
projets,1417819,6807,36
laisse,580069,6809,36
cabinet,584891,6806,36
éviter,739929,6809,36
fils,1181490,6809,36
salle,3105436,6809,36
montre,743633,6809,36
met,1020098,6809,36
troupes,288541,6808,36
fonds,1220873,6808,36
l'opinion,176262,6802,36
indiqué,1613243,6809,36
réforme,883357,6807,36
bout,1105738,6809,36
responsables,791609,6809,36
auquel,318671,6806,36
victimes,1098972,6809,36
allemagne,444740,6808,36
devoir,526341,6809,36
sûr,1114768,6809,36
parle,724287,6809,36
budget,1134548,6809,36
théâtre,1248689,6808,36
vieux,593387,6809,36
européens,724890,6809,36
répondre,829953,6809,36
lendemain,632267,6808,36
différentes,963766,6809,36
devra,593728,6809,36
rouge,1126069,6809,36
tribunal,1265547,6809,36
arrêté,608263,6808,36
reprendre,630112,6809,36
déclarations,301008,6807,36
décisions,402339,6805,36
communauté,1306313,6808,36
combat,653786,6809,36
armes,413678,6808,36
moscou,410536,6794,36
front,637954,6809,36
fonction,964346,6808,36
maintenir,491132,6806,36
meilleur,1123394,6809,36
moitié,740548,6809,36
courant,529196,6808,36
largement,727970,6809,36
père,1875256,6809,36
train,1048597,6809,36
veulent,649233,6808,36
officiellement,402871,6809,36
bord,921672,6809,36
actuel,405030,6808,36
propres,459042,6806,36
assurer,472401,6807,36
officielle,367664,6809,36
santé,2501488,6809,36
suivre,833575,6809,36
ailleurs,1534584,6809,36
professeur,675900,6806,36
souligné,689600,6809,36
morts,978249,6809,36
progrès,285890,6808,36
laissé,563071,6809,36
mains,634205,6809,36
directement,634490,6807,36
existe,545733,6809,36
lancé,1298043,6809,36
principal,687196,6808,36
d'accord,340702,6809,36
belle,1795212,6809,36
chiffre,1063715,6809,36
seine,736165,6808,36
venu,717533,6809,36
delà,849429,6809,36
devenir,875138,6809,36
propose,1497898,6809,36
impossible,437344,6808,36
évidemment,591095,6809,36
ouverte,929245,6809,36
immédiatement,432831,6809,36
procès,721661,6806,36
anglais,523694,6809,36
villes,773293,6807,36
souligne,1385812,6809,36
faute,674114,6809,36
soixante,216092,6791,36
l'an,1268835,6809,36
présenter,741456,6808,36
uns,318278,6806,36
démocratique,230402,6802,36
suivi,1031467,6809,36
liste,1300420,6809,36
coups,766836,6808,36
genre,667806,6809,36
rester,1009373,6809,36
proposition,537771,6807,36
porté,666100,6809,36
diverses,426264,6799,36
fonctions,387154,6803,36
favorable,377779,6809,36
tôt,886758,6809,36
syndicats,543483,6802,36
rapports,216136,6797,36
l'ouest,531810,6809,36
pourront,909568,6803,36
restent,687714,6809,36
représente,677229,6807,36
participer,927384,6809,36
demeure,345016,6801,36
court,712038,6809,36
unies,188305,6794,36
allemande,319545,6801,36
rapide,537030,6809,36
bientôt,542893,6808,36
reprises,608950,6809,36
l'intérêt,369766,6808,36
somme,521990,6806,36
régions,472076,6805,36
événements,507831,6807,36
poursuivre,653499,6809,36
signé,627085,6809,36
tendance,535068,6808,36
durée,831842,6807,36
organisations,294244,6800,36
prévoit,607559,6807,36
créé,823944,6809,36
européen,981852,6809,36
moyenne,1135023,6809,36
formule,366844,6802,36
milliers,681959,6809,36
partout,620007,6809,36
chine,1057682,6808,36
statut,426915,6809,36
classe,997085,6808,36
propositions,439740,6803,36
pression,783188,6809,36
conseiller,729526,6807,36
chemin,891422,6809,36
conscience,412079,6805,36
l'époque,836250,6809,36
tiers,614807,6805,36
