mot,cle,jours_actifs,total
principe,principe,26166,230803
récemment,recemment,26165,198016
trente,trente,26165,325974
lundi,lundi,26164,583461
neuf,neuf,26161,267077
jeu,jeu,26158,335645
vendredi,vendredi,26158,537062
rue,rue,26157,312979
nombreuses,nombreuses,26153,206146
représentants,representants,26149,219514
période,periode,26148,281361
travaux,travaux,26146,267702
passer,passer,26137,282221
nations,nations,26136,254826
permis,permis,26133,241252
ligne,ligne,26133,323144
droits,droits,26132,376357
ajoute,ajoute,26122,193877
revanche,revanche,26118,255692
bas,bas,26118,291625
new,new,26117,324008
fond,fond,26115,230469
l'une,l'une,26114,254372
mars,mars,26113,698115
prochain,prochain,26111,182551
véritable,veritable,26110,222142
mai,mai,26109,658172
maison,maison,26099,390471
solution,solution,26099,211413
précise,precise,26094,232033
sorte,sorte,26092,226929
d'après,d'apres,26092,163454
difficultés,difficultes,26089,210929
négociations,negociations,26087,246499
propre,propre,26087,250925
l'est,l'est,26085,229698
territoire,territoire,26084,248745
mission,mission,26083,243426
sein,sein,26079,341581
chargé,charge,26079,213374
l'homme,l'homme,26076,381127
total,total,26075,240085
économiques,economiques,26069,247387
marché,marche,26066,635061
raisons,raisons,26063,193558
large,large,26062,184523
l'objet,l'objet,26057,194470
voit,voit,26055,223039
pourra,pourra,26055,178637
dirigeants,dirigeants,26053,323795
haute,haute,26051,228896
décembre,decembre,26050,600078
but,but,26047,181112
tenir,tenir,26047,179715
terre,terre,26045,273687
socialiste,socialiste,26043,325164
appel,appel,26040,208877
chefs,chefs,26037,196805
l'histoire,l'histoire,26035,354033
partis,partis,26035,229494
faits,faits,26034,204971
débat,debat,26033,332949
valeur,valeur,26029,215094
l'affaire,l'affaire,26025,256434
l'europe,l'europe,26023,374519
pense,pense,26019,184772
mardi,mardi,26018,591454
parlement,parlement,26017,271571
parler,parler,26017,236555
bureau,bureau,26015,235276
personnel,personnel,26014,222333
permettre,permettre,26011,203758
l'heure,l'heure,26009,197860
produits,produits,26008,322181
enfants,enfants,26007,448002
gens,gens,26002,336410
octobre,octobre,26002,599957
sociale,sociale,26001,360532
populaire,populaire,25999,212408
paul,paul,25996,263346
série,serie,25996,261507
longue,longue,25994,199206
faisant,faisant,25994,181701
l'avenir,l'avenir,25993,206865
risque,risque,25990,373304
choses,choses,25987,231422
françaises,francaises,25986,199285
jeudi,jeudi,25986,581175
confiance,confiance,25981,204434
demander,demander,25977,166463
novembre,novembre,25977,595222
nature,nature,25975,239170
petite,petite,25972,269315
jusqu'au,jusqu'au,25972,202315
réponse,reponse,25972,200868
prises,prises,25966,170070
terme,terme,25965,370728
certes,certes,25963,217238
europe,europe,25962,312604
choix,choix,25961,318245
chambre,chambre,25961,218720
quinze,quinze,25957,217659
rapidement,rapidement,25957,174065
importante,importante,25954,167516
viennent,viennent,25952,170983
rencontre,rencontre,25951,237333
développement,developpement,25950,416902
poste,poste,25948,238289
s'y,s'y,25944,196168
kilomètres,kilometres,25944,224654
samedi,samedi,25943,396696
cour,cour,25940,347104
zone,zone,25937,253693
concerne,concerne,25936,181211
affirme,affirme,25935,238795
yeux,yeux,25925,219171
social,social,25918,322220
atteint,atteint,25918,184069
niveau,niveau,25917,396372
publics,publics,25917,268397
etc,etc,25912,202390
tient,tient,25912,187216
heure,heure,25910,159217
résultat,resultat,25909,192730
mer,mer,25901,242945
puisse,puisse,25899,153175
présente,presente,25893,185360
famille,famille,25892,375304
faite,faite,25892,145142
compris,compris,25888,220423
membre,membre,25888,212254
laisser,laisser,25887,180082
vice,vice,25884,199479
victoire,victoire,25883,236117
matière,matiere,25883,271520
feu,feu,25882,252154
libération,liberation,25878,192513
prochaine,prochaine,25865,144918
commun,commun,25864,244461
mme,mme,25863,377974
entreprises,entreprises,25861,489686
européenne,europeenne,25858,510956
preuve,preuve,25858,165876
mercredi,mercredi,25857,578100
termes,termes,25851,160511
caractère,caractere,25848,167557
passe,passe,25848,275566
jacques,jacques,25847,398687
précisé,precise,25838,171443
congrès,congres,25838,276647
bretagne,bretagne,25836,229865
cent,cent,25832,319067
voulu,voulu,25830,155068
l'économie,l'economie,25828,315415
groupes,groupes,25826,255595
formation,formation,25823,320201
commerce,commerce,25822,242988
présidence,presidence,25818,186342
double,double,25818,188222
femme,femme,25817,358724
domaine,domaine,25816,226201
nécessité,necessite,25813,161808
seuls,seuls,25807,173817
prend,prend,25803,213803
affirmé,affirme,25803,195088
département,departement,25801,192708
forte,forte,25799,237682
york,york,25798,236885
réalité,realite,25794,252942
permet,permet,25793,269732
représentant,representant,25792,150746
fédération,federation,25788,236137
qualité,qualite,25788,221253
durant,durant,25787,218695
quarante,quarante,25785,216428
venir,venir,25785,189735
mille,mille,25784,381929
avril,avril,25784,547839
terrain,terrain,25780,231775
éléments,elements,25779,153595
radio,radio,25774,208802
action,action,25772,170816
étrangers,etrangers,25769,205027
sort,sort,25767,163548
droite,droite,25765,447348
annonce,annonce,25762,140041
finalement,finalement,25759,191607
croire,croire,25758,157163
technique,technique,25747,206323
d'autant,d'autant,25741,209355
l'aide,l'aide,25740,186015
certaine,certaine,25736,155980
mot,mot,25724,192121
déclaration,declaration,25723,179449
ensemble,ensemble,25722,198905
lettre,lettre,25721,197938
amis,amis,25717,174162
entendu,entendu,25717,137955
route,route,25713,187361
visite,visite,25710,226680
produit,produit,25700,228370
concernant,concernant,25695,158606
présenté,presente,25694,173316
l'action,l'action,25693,192639
mondiale,mondiale,25692,244943
dessus,dessus,25684,150408
d'entre,d'entre,25677,185639
continue,continue,25676,169296
mètres,metres,25676,243189
livre,livre,25675,372922
l'étranger,l'etranger,25673,164269
commune,commune,25672,197357
milliards,milliards,25671,654602
rappelle,rappelle,25670,172943
juste,juste,25670,229348
pied,pied,25666,166900
penser,penser,25660,148572
guère,guere,25656,172476
prévu,prevu,25655,172823
connu,connu,25654,200662
simplement,simplement,25652,156159
communiste,communiste,25651,270292
février,fevrier,25651,536532
différents,differents,25650,171112
l'issue,l'issue,25648,142923
siècle,siecle,25645,328584
travers,travers,25636,215263
affaire,affaire,25636,203780
efforts,efforts,25634,137628
créer,creer,25629,197828
député,depute,25627,256564
dollars,dollars,25625,449905
divers,divers,25620,147917
jouer,jouer,25617,188809
voyage,voyage,25616,173298
davantage,davantage,25615,204493
louis,louis,25611,217431
informations,informations,25611,162898
obtenu,obtenu,25610,154064
nouvel,nouvel,25609,167114
proche,proche,25596,271268
veille,veille,25595,168725
responsabilité,responsabilite,25595,185126
l'opposition,l'opposition,25594,239670
lesquelles,lesquelles,25591,124139
conflit,conflit,25589,204560
plein,plein,25588,182340
puissance,puissance,25586,162934
note,note,25583,185845
trouvé,trouve,25578,150662
principaux,principaux,25577,151464
commencé,commence,25577,171723
secteur,secteur,25575,315741
anciens,anciens,25574,160695
scène,scene,25574,330061
lesquels,lesquels,25574,134275
charge,charge,25573,202965
porter,porter,25570,149856
petits,petits,25569,211364
vote,vote,25568,255877
l'égard,l'egard,25568,153765
allemand,allemand,25564,191031
compagnie,compagnie,25564,216972
l'administration,l'administration,25563,178467
intérêts,interets,25562,157747
grave,grave,25561,132237
participation,participation,25556,183719
obtenir,obtenir,25554,142931
robert,robert,25549,195268
manque,manque,25549,192501
source,source,25536,170145
finances,finances,25533,224135
constitution,constitution,25531,184322
construction,construction,25531,229544
