mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
chef,20080703,599,926437,64.66,6.733076e-07,6.1718,2
chef,20110504,1151,2016816,57.07,2.41095e-05,4.6178,1
chef,20120129,955,1662599,57.44,2.162742e-05,4.665,0
chef,20120516,1267,2246191,56.41,3.27459e-05,4.4848,0
chef,20170719,2429,4043164,60.08,3.800404e-06,5.4202,0
vie,20251228,3031,3020063,100.36,2.11446e-05,4.6748,0
question,20080425,403,846729,47.59,1.827104e-05,4.7382,0
reste,20080314,686,1101365,62.29,4.832672e-07,6.3158,0
gouvernement,20101114,2302,1639155,140.44,1.946969e-08,7.7106,0
gouvernement,20120516,3067,2246191,136.54,4.269929e-08,7.3696,0
gouvernement,20140403,4337,4414290,98.25,9.763868e-05,4.0104,0
gouvernement,20140825,4773,2698875,176.85,4.898924e-12,11.3099,0
gouvernement,20241203,5645,5326921,105.97,2.190351e-05,4.6595,2
cas,20090502,877,814799,107.63,2.96155e-06,5.5285,0
cas,20200323,5887,4151995,141.79,1.125814e-10,9.9485,19
cas,20220103,4145,3655866,113.38,4.336512e-07,6.3629,3
cas,20240422,7090,6320245,112.18,5.723645e-07,6.2423,2
cas,20240829,7527,6797116,110.74,8.434579e-07,6.0739,2
prendre,20200323,2295,4151995,55.27,2.90218e-14,13.5373,5
prendre,20210114,2235,5128239,43.58,3.50983e-05,4.4547,0
prendre,20220226,1788,4132671,43.26,6.555173e-05,4.1834,0
compte,20130402,3070,4551961,67.44,1.612871e-08,7.7924,0
compte,20210108,2510,4235872,59.26,4.342332e-05,4.3623,0
guerre,20141111,2754,3600482,76.49,7.983105e-06,5.0978,0
guerre,20151115,2962,3400511,87.1,5.277356e-07,6.2776,0
guerre,20181111,4314,3690953,116.88,1.67312e-10,9.7765,2
guerre,20220301,6500,5000351,129.99,4.050458e-12,11.3925,14
guerre,20230224,3668,4534307,80.89,2.569039e-06,5.5902,0
guerre,20260304,3899,5150394,75.7,9.519219e-06,5.0214,2
six,20080401,438,974551,44.94,1.106071e-05,4.9562,1
six,20080703,417,926437,45.01,1.182987e-05,4.927,0
six,20081224,261,587251,44.44,8.290293e-05,4.0814,0
six,20260316,2209,4929615,44.81,7.879217e-07,6.1035,1
seul,20080323,316,611322,51.69,3.554616e-11,10.4492,2
seul,20080823,255,587571,43.4,9.835448e-07,6.0072,1
mis,20180723,1922,3552998,54.1,7.025367e-05,4.1533,0
mis,20200329,1918,3215636,59.65,2.25101e-07,6.6476,10
nationale,20120618,1879,3593200,52.29,7.085468e-05,4.1496,0
nationale,20170619,2646,4219481,62.71,2.547951e-07,6.5938,0
nationale,20220620,4355,4823456,90.29,5.376321e-15,14.2695,0
nationale,20230317,2548,4906847,51.93,8.084733e-05,4.0923,0
nationale,20240609,3293,4229932,77.85,2.385635e-11,10.6224,3
