media_a,media_b,annee,tranche,n,echo
lefigaro,lemonde,2008,3,284,90
lefigaro,lemonde,2009,0,1412,173
lefigaro,lemonde,2009,1,569,105
lefigaro,lemonde,2009,2,380,86
lefigaro,lemonde,2009,3,304,69
lefigaro,lemonde,2010,0,988,196
lefigaro,lemonde,2010,1,363,92
lefigaro,lemonde,2010,2,263,87
lefigaro,lemonde,2010,3,242,69
lefigaro,lemonde,2011,0,969,191
lefigaro,lemonde,2011,1,407,109
lefigaro,lemonde,2011,2,330,121
lefigaro,lemonde,2011,3,240,111
lefigaro,lemonde,2012,0,948,182
lefigaro,lemonde,2012,1,367,114
lefigaro,lemonde,2012,2,247,106
lefigaro,lemonde,2012,3,168,79
lefigaro,lemonde,2013,0,848,174
lefigaro,lemonde,2013,1,324,95
lefigaro,lemonde,2013,2,177,81
lefigaro,lemonde,2013,3,113,66
lefigaro,lemonde,2014,0,686,172
lefigaro,lemonde,2014,1,271,87
lefigaro,lemonde,2014,2,217,100
lefigaro,lemonde,2014,3,126,65
lefigaro,lemonde,2015,0,763,187
lefigaro,lemonde,2015,1,326,115
lefigaro,lemonde,2015,2,250,129
lefigaro,lemonde,2015,3,192,106
lefigaro,lemonde,2016,0,742,170
lefigaro,lemonde,2016,1,293,107
lefigaro,lemonde,2016,2,207,102
lefigaro,lemonde,2016,3,160,103
lefigaro,lemonde,2017,0,824,170
lefigaro,lemonde,2017,1,304,103
lefigaro,lemonde,2017,2,198,89
lefigaro,lemonde,2017,3,145,83
lefigaro,lemonde,2018,0,755,154
lefigaro,lemonde,2018,1,279,75
lefigaro,lemonde,2018,2,185,81
lefigaro,lemonde,2018,3,147,76
lefigaro,lemonde,2019,0,712,131
lefigaro,lemonde,2019,1,262,73
lefigaro,lemonde,2019,2,206,66
lefigaro,lemonde,2019,3,187,73
lefigaro,lemonde,2020,0,810,200
lefigaro,lemonde,2020,1,303,78
lefigaro,lemonde,2020,2,225,87
lefigaro,lemonde,2020,3,136,72
lefigaro,lemonde,2021,0,637,139
